"","idnum","m4a4","m5a4","kind_a5","kind_a6","kind_a7","scoreKind","t5c13a","t5c13b","t5c13c","score","X","f1g9a","f1g9b","f1g9c","f1g9d","f1g9e","f1g9f","f1g9g","f1g9h","f1g9i","f1g9j","f1g9k","f1g9l","m2b18a","m2b18b","m2b18c","m2b18d","m2b18e","m2b18f","m2b18g","m2b18h","m2c3a","m3b4a","m3b4b","m3b4c","m3b4d","m3b4e","m3b4f","m3b4g","m3b4h","m3b4i","m3b4j","m3b4k","m3b4l","m3b4m","m3c3a","m3c3b","m3c3c","m3c3d","m3c3e","m3c3f","m3c3g","m3c3h","m3c3i","m3c3j","m3c3k","m3c3l","m3c3m","f3c3a","f3c3b","f3c3c","f3c3d","f3c3e","f3c3f","f3c3g","f3c3h","f3c3i","f3c3j","f3c3k","f3c3l","f3c3m","f3b4a","f3b4b","f3b4c","f3b4d","f3b4e","f3b4f","f3b4g","f3b4h","f3b4i","f3b4j","f3b4k","f3b4l","f3b4m","m4c3a","m4c3b","m4c3c","m4c3d","m4c3e","m4c3f","m4c3g","m4c3h","f4b4a1","f4b4a2","f4b4a3","f4b4a4","f4b4a5","f4b4a6","f4b4a7","f4b4a8","f4c3a","f4c3b","f4c3c","f4c3d","f4c3e","f4c3f","f4c3g","f4c3h","f2b36a","f2b36b","f2b36c","f2b36d","f2b36e","f2b36f","f2b36g","f2b36h","f2c3a","f2c3b","f2c3c","f2c3d","f2c3e","f2c3f","f2c3g","f2c3h","f2c3i","f2c3j","m2c3b","m2c3c","m2c3d","m2c3e","m2c3f","m2c3g","m2c3h","m2c3i","m2c3j","tally","tally2"
"2533",2534,2,1,4,4,4,12,4,4,4,12,2534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,3,3,7,4,7,7,5,7,7,7,3,4,3,4,5,5,1,2,0,5,5,7,7,2,5,3,0,4,5,1,2,0,3,4,7,7,7,7,2,2,4,7,2,3,7,7,2,7,7,1,5,2,2,4,7,2,3,1,7,7,3,3,5,7,5,5,5,2,3,2,2,4,1,3,4,5,5,5,4,5,3,4,5,4,4,2,2,6,3,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,3,7,0,0,4,7,3,0,0
"2534",2535,6,7,NA,NA,NA,NA,3,3,3,9,2535,3,0,0,7,0,7,0,0,0,0,0,0,7,7,7,7,7,7,7,7,NA,7,7,7,7,7,7,7,7,7,7,3,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"2535",2536,2,4,NA,NA,NA,NA,4,4,4,12,2536,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,7,4,5,7,7,7,3,7,7,5,5,7,7,5,7,4,1,0,7,5,7,7,1,0,0,2,0,2,0,1,0,2,7,7,7,7,7,7,4,4,4,7,1,7,7,0,7,7,3,3,1,7,3,7,4,0,1,7,2,0,0,0,7,3,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,7,6,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,2,4,2,7,7,7,2,0,0
"2536",2537,1,1,NA,NA,NA,NA,-9,-9,-9,-27,2537,0,7,0,0,0,0,2,3,0,0,0,0,7,7,5,7,7,1,7,7,7,1,7,7,0,2,1,2,7,7,4,2,7,7,2,7,7,3,7,2,3,7,7,2,2,7,1,4,7,7,2,5,3,3,3,7,3,1,7,4,4,7,7,2,0,2,2,2,2,3,1,0,2,1,2,0,3,7,7,1,3,1,1,5,1,7,5,2,2,7,5,5,5,NA,2,2,2,6,5,1,1,7,2,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,7,0,1,3,7,7,3,0,0
"2537",2538,2,4,NA,NA,NA,NA,2,3,2,7,2538,4,2,1,5,1,1,2,7,1,3,6,2,7,7,3,3,5,4,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,0,2,7,2,3,3,3,5,3,7,5,4,3,7,5,6,3,7,7,5,3,7,7,3,2,2,7,2,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,3,7,2,7,7,7,7,0,0
"2538",2539,6,7,NA,NA,NA,NA,-9,-9,-9,-27,2539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,0,0,7,7,7,7,NA,7,7,7,7,7,7,7,7,7,1,4,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"2539",2540,6,6,2,3,2,7,-9,-9,-9,-27,2540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,2,2,7,2,7,7,7,7,7,7,7,7,5,5,7,7,4,1,3,7,4,7,7,3,4,0,3,7,3,4,1,3,5,5,4,5,4,4,5,5,2,5,3,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,0,0,7,3,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,3,7,7,7,7,7,5,0,0
"2540",2541,3,3,3,3,3,9,5,4,5,14,2541,0,1,0,0,0,7,1,2,0,0,0,1,5,4,5,2,5,6,7,5,3,4,7,7,7,2,7,1,4,5,5,2,0,7,2,7,7,3,3,2,2,3,7,3,4,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,3,7,5,3,4,2,2,7,7,7,2,2,4,1,1,1,1,0,5,5,5,7,5,7,4,7,3,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,4,3,4,4,7,3,0,0
"2541",2542,1,1,2,3,2,7,3,3,2,8,2542,0,0,0,0,0,0,0,0,0,0,0,0,7,7,5,5,7,1,7,7,7,7,7,7,3,5,7,0,4,7,0,4,7,7,2,7,7,2,5,3,0,5,7,0,3,3,3,7,7,7,4,7,7,7,7,7,1,4,7,7,7,7,7,2,7,7,7,7,4,1,1,7,7,2,4,4,5,5,3,4,5,2,6,6,7,7,4,4,7,7,7,7,7,7,4,7,7,7,1,1,2,7,1,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,7,1,3,3,7,0,0,0
"2542",2543,-9,-9,NA,NA,NA,NA,-9,-9,-9,-27,2543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"2543",2544,1,1,NA,NA,NA,NA,3,3,3,9,2544,1,0,0,1,1,1,0,0,2,0,1,1,7,7,5,5,7,2,7,7,7,7,7,7,5,3,4,7,4,7,2,2,1,7,7,7,7,2,2,2,4,3,1,1,3,1,1,7,7,7,4,5,6,6,5,5,4,2,3,7,4,7,7,4,7,5,5,5,5,4,2,4,3,2,3,3,2,3,7,3,5,4,7,5,5,5,7,3,3,5,7,5,5,7,5,5,3,7,7,7,7,7,3,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,5,7,2,7,0,7,7,0,0
"2544",2545,1,2,NA,NA,NA,NA,-9,-9,-9,-27,2545,5,5,3,0,5,7,2,6,6,0,0,0,7,7,7,2,7,2,7,7,1,7,7,7,3,7,7,7,7,7,0,1,0,3,5,7,7,2,5,5,4,7,5,0,0,0,4,3,7,7,NA,4,5,NA,3,7,0,2,0,2,7,7,7,3,4,2,7,7,7,0,2,7,4,2,2,2,2,7,0,2,4,3,4,4,7,7,1,5,6,NA,5,5,2,7,1,3,7,3,7,0,4,7,NA,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,7,7,7,3,0,0
"2545",2546,4,3,NA,NA,NA,NA,-9,-9,-9,-27,2546,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,3,7,7,1,7,7,7,7,7,7,7,7,7,3,1,0,7,5,5,7,1,5,5,5,5,5,1,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,0,1,1,1,0,0,0
"2546",2547,6,7,NA,NA,NA,NA,-9,-9,-9,-27,2547,3,0,0,5,0,4,5,0,0,0,0,0,7,7,7,0,7,2,7,7,3,7,7,7,7,7,7,7,7,7,1,2,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,2,1,7,0,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,3,1,3,3,3,3,0,0
"2547",2548,-9,-9,NA,NA,NA,NA,-9,-9,-9,-27,2548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,5,7,1,7,7,NA,7,7,7,7,7,7,7,7,7,3,1,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"2548",2549,5,6,NA,NA,NA,NA,2,3,3,8,2549,3,0,0,1,2,1,0,0,0,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"2549",2550,1,7,NA,NA,NA,NA,-9,-9,-9,-27,2550,7,2,5,2,4,0,0,2,3,0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,7,4,0,3,0,4,0,0,1,7,7,2,2,5,0,1,1,2,7,7,0,1,7,7,2,7,7,7,0,4,0,7,7,0,1,7,7,2,7,7,7,2,1,0,7,7,1,2,7,7,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"2550",2551,-9,-9,NA,NA,NA,NA,-9,-9,-9,-27,2551,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,2,7,2,7,7,7,7,7,7,4,7,7,0,7,7,1,1,0,7,1,7,7,0,3,1,3,3,7,1,0,0,7,7,7,7,7,7,7,7,7,7,1,0,0,7,2,7,7,7,7,1,0,4,4,1,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,0,3,1,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,1,7,3,3,7,7,7,0,0
"2551",2552,1,1,3,3,3,9,3,3,4,10,2552,0,0,0,1,0,0,0,1,1,2,0,0,7,7,7,7,0,0,7,7,7,7,7,7,7,7,7,7,7,7,0,3,7,7,7,7,7,7,7,7,7,7,7,0,3,7,7,3,7,7,7,7,2,2,7,7,0,1,1,7,7,7,7,7,7,1,2,7,7,0,1,0,7,4,3,7,3,7,3,7,2,2,4,6,2,7,1,6,7,3,1,4,7,7,1,3,7,7,3,0,7,7,0,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,0,7,7,7,7,0,0
"2552",2553,5,6,NA,NA,NA,NA,3,3,2,8,2553,5,0,0,4,2,7,0,7,0,0,0,0,7,7,7,7,3,7,7,7,3,7,7,7,3,7,4,7,7,2,7,1,0,7,2,7,7,0,1,1,1,2,2,7,1,0,2,7,7,7,7,7,7,7,7,7,7,2,2,7,1,7,7,3,7,1,1,5,3,4,2,7,7,1,1,3,0,1,7,1,1,1,1,1,3,3,1,2,2,7,5,5,3,2,1,3,7,7,7,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,3,7,0,7,7,0,0,0
"2553",2554,3,7,NA,NA,NA,NA,2,3,2,7,2554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,2,7,7,2,2,1,1,2,3,1,1,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"2554",2555,6,-9,NA,NA,NA,NA,-9,-9,-9,-27,2555,0,0,0,0,0,0,0,2,7,7,0,0,7,7,7,7,7,1,7,7,NA,7,7,7,7,7,7,7,7,7,1,1,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,3,3,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"2555",2556,2,-9,NA,NA,NA,NA,-9,-9,-9,-27,2556,0,0,0,0,1,6,2,2,0,0,1,0,5,7,4,4,7,7,7,7,3,7,7,7,7,7,3,3,7,7,7,1,1,7,3,7,7,7,7,1,1,3,7,1,1,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,7,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,4,5,3,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,3,0,0,1,7,2,0,0
"2556",2557,5,4,NA,NA,NA,NA,-9,-9,-9,-27,2557,4,3,1,1,0,7,0,1,0,0,0,2,7,7,7,7,7,1,7,7,NA,7,7,7,2,0,5,5,2,7,2,1,0,7,3,7,7,2,0,3,3,2,7,2,1,0,0,7,7,7,7,7,7,7,7,7,3,3,7,7,4,7,7,4,7,5,5,7,7,3,3,7,7,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,7,4,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"2557",2558,3,6,NA,NA,NA,NA,3,3,3,9,2558,0,0,0,0,0,0,0,1,0,1,0,1,7,1,2,0,7,7,7,7,3,7,7,7,7,NA,7,3,3,7,7,3,0,7,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,7,7,7,7,7,7,6,7,7,7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,1,3,3,4,2,3,4,4,4,5,5,3,5,5,7,3,7,7,7,5,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,7,1,1,7,7,3,0,0
"2558",2559,6,7,NA,NA,NA,NA,-9,-9,-9,-27,2559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,7,0,7,7,NA,7,7,7,3,7,3,0,4,2,7,4,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"2559",2560,5,7,NA,NA,NA,NA,-9,-9,-9,-27,2560,0,0,0,0,0,5,1,7,0,0,0,0,7,7,4,4,7,3,7,7,7,7,7,7,5,3,7,7,7,5,5,2,7,7,5,7,7,7,5,5,5,7,7,1,1,7,5,4,4,7,4,4,4,4,4,4,2,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,5,7,2,1,6,7,4,3,7,7,4,1,5,5,7,5,7,7,3,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,6,7,3,7,7,7,7,0,0
"2560",2561,2,2,NA,NA,NA,NA,-9,-9,-9,-27,2561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,7,5,5,4,3,5,5,4,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,7,7,7,5,3,5,7,7,3,4,2,3,3,3,3,3,3,2,3,3,5,5,3,4,3,2,3,2,4,2,3,2,3,3,3,2,4,1,2,7,7,7,7,7,7,2,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"2561",2562,3,3,3,3,3,9,2,2,2,6,2562,2,0,0,5,0,4,5,6,3,0,0,3,7,7,7,7,7,7,7,7,7,7,7,7,0,7,7,7,3,5,3,2,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,5,5,4,4,4,5,4,3,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,2,2,2,2,1,2,4,5,6,6,6,3,NA,NA,NA,NA,7,0,4,7,7,7,7,5,7,5,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,5,7,7,7,7,0,0
"2562",2563,3,6,NA,NA,NA,NA,-9,-9,-9,-27,2563,0,0,0,0,0,6,0,0,0,0,0,0,3,7,2,NA,NA,NA,NA,NA,NA,1,7,7,7,7,1,1,2,7,7,1,0,7,0,7,7,0,1,1,0,0,7,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,7,NA,NA,3,NA,NA,0,0
"2563",2564,-9,-9,NA,NA,NA,NA,-9,-9,-9,-27,2564,0,0,0,0,0,0,7,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"2564",2565,1,1,3,3,2,8,2,3,2,7,2565,0,0,0,3,0,0,0,5,0,0,0,0,7,7,7,7,7,1,7,7,4,7,7,7,7,3,7,3,7,7,0,1,7,7,7,7,7,7,7,7,7,7,7,0,0,7,4,7,7,7,7,7,4,6,7,7,1,1,7,5,2,7,7,7,7,2,7,7,7,1,1,7,7,4,7,7,3,7,2,3,7,5,7,7,7,7,7,5,7,7,NA,7,7,7,7,7,7,7,7,1,1,7,1,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,7,1,7,7,7,3,0,0
"2565",2566,6,7,NA,NA,NA,NA,4,4,4,12,2566,7,4,3,0,3,0,0,5,0,7,7,0,7,7,2,NA,NA,NA,NA,NA,NA,4,7,7,7,5,1,0,3,7,7,1,0,7,NA,1,1,0,NA,0,0,0,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,0,0
"2566",2567,5,6,2,2,3,7,4,4,3,11,2567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,5,2,7,3,7,7,7,7,7,7,7,7,7,7,7,7,7,0,7,7,NA,7,7,7,7,7,7,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,2,2,2,1,7,7,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,2,7,2,7,7,7,7,0,0
"2567",2568,5,-9,NA,NA,NA,NA,-9,-9,-9,-27,2568,0,0,0,0,0,0,0,1,0,0,0,0,7,6,7,7,5,6,7,7,2,4,7,7,3,0,7,2,7,7,3,2,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,4,3,5,2,7,7,7,7,2,2,2,2,2,2,2,2,1,0,0
"2568",2569,3,3,5,3,4,12,3,3,3,9,2569,2,0,0,0,0,0,0,2,0,0,0,0,7,7,7,1,7,2,7,7,NA,7,7,7,7,4,6,6,2,7,1,1,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,4,3,7,7,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"2569",2570,-9,-9,NA,NA,NA,NA,-9,-9,-9,-27,2570,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"2570",2571,1,1,NA,NA,NA,NA,2,-1,-1,0,2571,0,2,0,0,0,2,0,3,5,0,0,2,7,7,3,3,7,3,7,7,3,3,7,7,2,0,3,3,7,0,2,2,0,7,1,7,3,3,0,0,2,2,0,3,2,0,3,6,7,7,5,7,7,7,7,7,7,7,5,7,4,7,7,4,7,5,5,7,7,7,7,5,7,0,1,0,5,NA,0,2,3,3,3,3,4,6,3,2,4,4,5,5,4,6,5,5,4,6,6,6,6,6,4,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,3,2,7,1,0,0
