"","idnum","mothid4","m4b0","m4b1","m4b2","m4b4a1","m4b26a","m4b4a2","m4b26b","m4b4a3","m4b26c","m4b4a4","m4b26d","m4b4a5","m4b26e","m4b4a6","m4b26f","m4b4a7","m4b26g","m4b4a8","m4b26h","m4b5","m4b5a","m4b8","m4b8a","m4b8b","m4b27","m4b28a","m4b28b","m4b28c","m4c3a","m4c3b","m4c3c","m4c3d","m4c3e","m4c3f","m4c3g","m4c3h","m4c4","m4c4a","m4c5","m4c7a","m4c7b","m4c7c","m4c7d","m4c26a","m4c26b","m4c26c","m4c26d","m4i0e","m4j18","kind_a5","kind_a6","kind_a7","kind_b1a","kind_b1b","kind_b1c","kind_b1d","kind_b1e","kind_b1f","kind_b1g","kind_b1h","kind_b1i"
"975","0975","09750",1,2,4,4,-6,7,-6,2,-6,0,-6,4,-6,2,-6,1,-6,7,-6,1,3,1,1,30,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,4,4,4,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"976","0976","09760",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"977","0977","09770",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"978","0978","09780",1,2,1,1,-6,7,-6,7,-6,0,-6,7,-6,7,-6,1,-6,7,-6,1,4,1,3,15,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,4,4,4,4,4,4,4,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"979","0979","09790",1,3,1,3,-6,3,-6,3,-6,1,-6,2,-6,1,-6,2,-6,5,-6,1,2,1,5,30,-6,-6,-6,-6,-2,0,0,0,0,0,1,0,2,-6,3,1,3,4,2,3,3,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"980","0980","09800",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"981","0981","09810",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"982","0982","09820",1,2,1,7,-6,3,-6,3,-6,7,-6,7,-6,2,-6,1,-6,7,-6,1,4,1,3,40,-6,-6,-6,-6,4,5,7,7,7,2,1,7,2,-6,1,1,1,1,2,-6,-6,-6,-6,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"983","0983","09830",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"984","0984","09840",1,2,1,7,-6,7,-6,4,-6,7,-6,7,-6,4,-6,3,-6,7,-6,1,3,1,3,6,-6,-6,-6,-6,0,0,0,1,-2,0,0,1,2,-6,4,3,4,4,4,4,3,4,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"985","0985","09850",1,3,3,5,-6,7,-6,7,-6,5,-6,7,-6,3,-6,1,-6,2,-6,2,-6,1,1,60,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,3,4,4,4,1,1,4,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
