"","idnum","mothid4","m4b0","m4b1","m4b2","m4b4a1","m4b26a","m4b4a2","m4b26b","m4b4a3","m4b26c","m4b4a4","m4b26d","m4b4a5","m4b26e","m4b4a6","m4b26f","m4b4a7","m4b26g","m4b4a8","m4b26h","m4b5","m4b5a","m4b8","m4b8a","m4b8b","m4b27","m4b28a","m4b28b","m4b28c","m4c3a","m4c3b","m4c3c","m4c3d","m4c3e","m4c3f","m4c3g","m4c3h","m4c4","m4c4a","m4c5","m4c7a","m4c7b","m4c7c","m4c7d","m4c26a","m4c26b","m4c26c","m4c26d","m4i0e","m4j18","kind_a5","kind_a6","kind_a7","kind_b1a","kind_b1b","kind_b1c","kind_b1d","kind_b1e","kind_b1f","kind_b1g","kind_b1h","kind_b1i"
"1","0001","00010",1,2,1,0,-6,1,-6,0,-6,3,-6,7,-6,3,-6,7,-6,7,-6,2,-6,1,3,25,-6,-6,-6,-6,0,1,1,1,7,2,7,7,2,-6,1,1,1,1,1,-6,-6,-6,-6,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","0002","00020",1,3,3,0,-6,4,-6,0,-6,5,-6,7,-6,2,-6,1,-6,7,-6,1,4,1,5,6,-6,-6,-6,-6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-6,1,1,4,4,4,3,3,3,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","0003","00030",1,3,1,2,-6,7,-6,5,-6,5,-6,7,-6,3,-6,5,-6,7,-6,1,4,1,4,30,-6,-6,-6,-6,-2,3,3,3,3,2,2,3,2,-6,2,-2,-2,-2,-2,1,1,1,2,-2,1,3,3,2,4,3,2,3,5,4,3,3,2
"4","0004","00040",1,3,2,4,-6,7,-6,7,-6,7,-6,7,-6,7,-6,2,-6,1,-6,2,-6,1,4,20,-6,-6,-6,-6,7,7,7,5,7,7,3,1,2,-6,1,1,2,1,1,-6,-6,-6,-6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","0005","00050",1,1,1,4,-6,7,-6,7,-6,4,-6,7,-6,5,-6,4,-6,7,-6,2,-6,2,-6,-6,-6,-6,-6,-6,0,0,0,0,0,0,0,0,2,-6,4,4,4,4,4,3,3,4,4,-6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","0006","00060",1,1,3,3,-6,7,-6,3,-6,7,-6,7,-6,4,-6,2,-6,7,-6,1,4,1,5,15,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,4,4,4,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","0007","00070",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","0008","00080",1,1,1,4,-6,7,-6,7,-6,0,-6,7,-6,3,-6,5,-6,7,-6,1,3,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,4,4,4,4,4,3,4,4,-6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","0009","00090",1,1,1,4,-6,2,-6,7,-6,7,-6,7,-6,7,-6,1,-6,7,-6,1,3,1,1,40,-6,-6,-6,-6,-2,-2,-2,-2,4,4,4,4,-2,-6,2,1,1,2,2,2,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","0010","00100",1,1,1,7,-6,7,-6,5,-6,7,-6,7,-6,3,-6,7,-6,5,-6,2,-6,1,5,40,-6,-6,-6,-6,0,0,0,0,0,0,0,2,2,-6,4,4,4,4,4,4,2,4,2,2,2,3,3,3,5,5,5,5,5,5,5,5,5
"11","0011","00110",1,2,1,3,-6,7,-6,6,-6,5,-6,7,-6,3,-6,3,-6,7,-6,1,2,1,3,30,-6,-6,-6,-6,2,1,7,7,3,1,2,7,2,-6,2,1,1,1,1,-6,-6,-6,-6,2,2,4,4,4,5,5,5,5,5,5,5,5,5
"12","0012","00120",1,1,1,5,-6,3,-6,3,-6,0,-6,7,-6,3,-6,7,-6,7,-6,1,3,1,3,25,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,4,4,4,4,2,2,4,2,1,1,2,3,2,3,5,5,3,4,4,4,4,4
"13","0013","00130",1,3,3,2,-6,7,-6,1,-6,2,-6,3,-6,3,-6,1,-6,2,-6,2,-6,1,3,35,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,4,4,4,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","0014","00140",1,1,2,7,-6,7,-6,7,-6,7,-6,7,-6,4,-6,7,-6,2,-6,2,-6,1,5,40,-6,-6,-6,-6,0,0,0,0,-2,0,2,2,1,4,3,4,4,4,4,4,4,4,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","0015","00150",1,1,2,2,-6,3,-6,3,-6,3,-6,7,-6,3,-6,4,-6,5,-6,2,-6,1,5,35,-6,-6,-6,-6,0,0,0,2,2,2,0,2,2,-6,3,3,4,4,4,4,3,4,3,1,2,3,3,3,3,5,4,4,3,3,3,4,4
"16","0016","00160",1,2,2,2,-6,4,-6,4,-6,5,-6,3,-6,3,-6,2,-6,7,-6,1,4,1,1,12,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,4,4,4,4,3,3,4,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","0017","00170",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","0018","00180",1,3,1,7,-6,4,-6,0,-6,5,-6,7,-6,0,-6,2,-6,7,-6,1,2,1,3,12,-6,-6,-6,-6,0,1,4,2,5,0,2,7,1,2,1,2,1,1,3,-6,-6,-6,-6,1,1,2,2,3,3,4,1,4,4,3,4,2,4
"19","0019","00190",1,2,2,1,-6,4,-6,4,-6,4,-6,3,-6,3,-6,2,-6,4,-6,1,4,1,4,30,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,4,4,4,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","0020","00200",1,2,2,7,-6,7,-6,7,-6,7,-6,7,-6,3,-6,5,-6,3,-6,2,-6,1,1,40,-6,-6,-6,-6,5,5,6,7,7,3,3,5,2,-6,1,1,1,1,2,-6,-6,-6,-6,2,2,3,4,4,5,5,5,5,4,5,5,5,5
"21","0021","00210",1,2,2,5,-6,7,-6,5,-6,7,-6,7,-6,5,-6,3,-6,7,-6,2,-6,1,3,15,-6,-6,-6,-6,5,7,4,7,7,5,3,7,2,-6,1,1,1,1,2,-6,-6,-6,-6,1,2,4,4,4,5,5,5,5,4,5,5,5,5
"22","0022","00220",1,3,1,3,-6,7,-6,7,-6,2,-6,5,-6,1,-6,3,-6,1,-6,1,4,1,5,40,-6,-6,-6,-6,0,1,1,0,2,0,0,2,2,-6,3,3,4,4,2,4,4,4,4,2,1,3,3,3,4,5,5,5,4,3,5,4,4
"23","0023","00230",1,2,2,3,-6,4,-6,3,-6,3,-6,3,-6,1,-6,1,-6,7,-6,1,4,1,1,40,-6,-6,-6,-6,2,2,2,3,4,4,2,4,2,-6,5,-6,-6,-6,-6,-6,-6,-6,-6,2,1,2,2,2,3,5,1,2,4,1,2,2,1
"24","0024","00240",1,2,3,3,-6,2,-6,2,-6,3,-6,5,-6,1,-6,2,-6,6,-6,1,2,1,1,5,-6,-6,-6,-6,0,0,0,0,4,2,2,0,1,3,2,2,2,2,2,-6,-6,-6,-6,2,2,4,4,3,4,4,4,4,4,4,4,4,3
"25","0025","00250",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","0026","00260",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","0027","00270",1,1,2,3,-6,7,-6,2,-6,2,-6,7,-6,2,-6,5,-6,7,-6,1,4,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1,2,4,2,1,1,1,1,-6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","0028","00280",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","0029","00290",1,2,1,2,-6,3,-6,1,-6,2,-6,7,-6,3,-6,1,-6,0,-6,2,-6,1,2,19,-6,-6,-6,-6,2,1,0,0,3,1,0,0,2,-6,2,2,1,1,3,-6,-6,-6,-6,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","0030","00300",1,1,3,7,-6,7,-6,7,-6,5,-6,7,-6,5,-6,7,-6,4,-6,1,3,1,3,8,-6,-6,-6,-6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-6,3,4,4,4,2,3,3,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","0031","00310",1,1,1,3,-6,4,-6,2,-6,7,-6,7,-6,3,-6,3,-6,7,-6,1,3,1,4,15,-6,-6,-6,-6,0,0,0,0,0,0,0,0,2,-6,3,3,4,4,2,2,2,3,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","0032","00320",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","0033","00330",1,1,1,7,-6,7,-6,7,-6,7,-6,7,-6,1,-6,2,-6,7,-6,2,-6,1,5,30,-6,-6,-6,-6,1,1,1,1,2,1,1,2,2,-6,3,2,4,4,4,2,2,4,4,2,2,2,2,2,2,1,1,1,4,4,2,1,1
"34","0034","00340",1,3,2,5,-6,7,-6,7,-6,7,-6,7,-6,2,-6,2,-6,7,-6,2,-6,1,2,40,-6,-6,-6,-6,0,0,0,0,0,0,0,0,2,-6,5,-6,-6,-6,-6,2,4,4,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","0035","00350",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","0036","00360",1,1,2,6,-6,5,-6,5,-6,4,-6,7,-6,3,-6,3,-6,3,-6,1,4,1,7,35,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,4,4,4,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","0037","00370",1,1,1,2,-6,4,-6,4,-6,5,-6,7,-6,3,-6,6,-6,7,-6,1,4,1,4,35,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-2,-2,-2,-2,4,4,4,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","0038","00380",1,3,1,1,-6,2,-6,2,-6,7,-6,5,-6,5,-6,3,-6,7,-6,2,-6,1,4,7,-6,-6,-6,-6,2,2,1,5,7,3,3,4,2,-6,1,1,2,2,2,-6,-6,-6,-6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","0039","00390",1,1,1,5,-6,7,-6,7,-6,7,-6,7,-6,2,-6,4,-6,7,-6,2,-6,1,1,8,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,4,4,4,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","0040","00400",1,1,1,7,-6,7,-6,1,-6,4,-6,7,-6,5,-6,2,-6,7,-6,1,4,1,4,16,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,4,4,4,4,4,4,4,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","0041","00410",1,2,1,1,-6,7,-6,2,-6,1,-6,7,-6,1,-6,7,-6,1,-6,1,4,1,5,30,-6,-6,-6,-6,0,0,0,0,0,0,0,2,2,-6,4,4,3,3,2,3,3,4,1,2,2,4,3,4,5,5,5,5,5,5,5,5,5
"42","0042","00420",1,2,2,7,-6,1,-6,1,-6,5,-6,7,-6,0,-6,0,-6,7,-6,1,4,1,5,13,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,4,4,4,4,2,2,-1,-1,-1,3,2,1,3,4,3,3,2,1
"43","0043","00430",1,1,1,7,-6,2,-6,2,-6,1,-6,7,-6,3,-6,3,-6,7,-6,1,3,1,3,40,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,4,4,4,4,4,4,4,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","0044","00440",1,1,2,4,-6,6,-6,6,-6,7,-6,7,-6,2,-6,1,-6,7,-6,1,4,1,5,30,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","0045","00450",1,3,1,0,-6,0,-6,0,-6,3,-6,5,-6,1,-6,1,-6,5,-6,2,-6,2,-6,-6,-6,-6,-6,-6,1,0,0,5,3,3,1,7,2,-6,1,3,2,2,1,-6,-6,-6,-6,-6,2,1,2,1,2,3,2,2,2,2,2,2,2
"46","0046","00460",1,1,2,2,-6,2,-6,1,-6,1,-6,5,-6,2,-6,6,-6,7,-6,1,4,1,5,45,-6,-6,-6,-6,0,0,0,0,0,0,0,1,2,-6,3,3,4,4,4,3,2,4,3,1,1,2,3,3,4,5,3,2,4,4,5,4,3
"47","0047","00470",1,1,1,7,-6,7,-6,2,-6,2,-6,7,-6,7,-6,3,-6,7,-6,2,-6,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,4,4,4,4,4,4,4,4,-6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","0048","00480",1,1,1,7,-6,7,-6,0,-6,7,-6,7,-6,5,-6,2,-6,7,-6,2,-6,1,4,20,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","0049","00490",1,2,1,4,-6,7,-6,3,-6,4,-6,4,-6,5,-6,2,-6,1,-6,2,-6,1,1,30,-6,-6,-6,-6,3,4,2,4,4,5,2,1,2,-6,1,1,1,1,1,-6,-6,-6,-6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","0050","00500",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","0051","00510",1,2,1,5,-6,5,-6,5,-6,5,-6,5,-6,4,-6,7,-6,7,-6,2,-6,1,5,15,-6,-6,-6,-6,4,2,4,6,4,4,2,4,2,-6,1,3,3,2,4,-6,-6,-6,-6,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","0052","00520",1,1,2,7,-6,3,-6,5,-6,7,-6,7,-6,3,-6,3,-6,7,-6,2,-6,1,3,40,-6,-6,-6,-6,-2,1,1,1,1,1,1,1,2,-6,2,4,4,4,4,3,4,4,3,2,2,4,3,4,4,5,4,5,5,5,5,5,4
"53","0053","00530",1,2,1,3,-6,5,-6,7,-6,5,-6,5,-6,7,-6,3,-6,5,-6,2,-6,1,1,40,-6,-6,-6,-6,0,0,0,0,0,0,0,0,2,-6,4,4,4,4,4,1,2,4,4,2,2,-1,3,3,4,5,3,4,3,4,4,4,4
"54","0054","00540",1,2,1,6,-6,7,-6,7,-6,7,-6,7,-6,7,-6,4,-6,0,-6,1,4,1,3,8,-6,-6,-6,-6,1,6,7,7,7,6,3,2,1,4,1,1,1,1,2,-6,-6,-6,-6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","0055","00550",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","0056","00560",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","0057","00570",1,1,1,3,-6,2,-6,1,-6,7,-6,7,-6,3,-6,2,-6,7,-6,2,-6,1,4,20,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,4,4,4,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","0058","00580",1,2,1,7,-6,7,-6,7,-6,2,-6,7,-6,3,-6,3,-6,4,-6,1,4,1,3,6,-6,-6,-6,-6,1,3,3,1,7,0,3,2,2,-6,2,1,1,1,3,-6,-6,-6,-6,2,2,3,3,4,4,5,5,3,3,4,5,4,3
"59","0059","00590",1,3,3,1,-6,3,-6,3,-6,2,-6,2,-6,2,-6,1,-6,7,-6,1,4,1,5,15,-6,-6,-6,-6,0,1,1,1,1,1,1,0,2,-6,1,1,2,2,1,-6,-6,-6,-6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","0060","00600",1,1,2,5,-6,5,-6,5,-6,5,-6,7,-6,3,-6,3,-6,7,-6,2,-6,1,3,15,-6,-6,-6,-6,1,1,1,3,5,2,3,7,1,4,1,1,2,2,2,-6,-6,-6,-6,2,2,4,4,4,5,5,-1,5,5,5,5,5,5
"61","0061","00610",1,1,1,7,-6,5,-6,5,-6,5,-6,7,-6,3,-6,3,-6,7,-6,2,-6,1,3,60,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,4,4,4,4,2,2,4,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","0062","00620",1,1,1,4,-6,4,-6,1,-6,1,-6,7,-6,2,-6,2,-6,7,-6,1,3,1,4,35,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,4,4,4,4,4,4,4,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","0063","00630",1,1,1,7,-6,7,-6,2,-6,3,-6,7,-6,0,-6,5,-6,7,-6,1,4,1,5,12,-6,-6,-6,-6,7,1,2,3,7,3,2,7,-2,-6,2,1,1,2,3,-6,-6,-6,-6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","0064","00640",1,2,2,2,-6,6,-6,5,-6,3,-6,7,-6,3,-6,4,-6,7,-6,2,-6,1,5,35,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,4,4,4,4,2,1,2,3,2,4,2,2,4,5,5,4,3,3
"65","0065","00650",1,3,3,7,-6,7,-6,7,-6,7,-6,7,-6,2,-6,1,-6,7,-6,2,-6,1,7,30,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,4,4,4,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","0066","00660",1,2,1,2,-6,7,-6,3,-6,3,-6,7,-6,7,-6,4,-6,1,-6,2,-6,1,3,12,-6,-6,-6,-6,0,2,0,1,3,4,2,0,2,-6,2,1,2,1,1,-6,-6,-6,-6,1,2,4,4,4,1,5,5,4,5,3,5,5,4
"67","0067","00670",1,2,2,7,-6,3,-6,3,-6,3,-6,7,-6,3,-6,2,-6,7,-6,2,-6,2,-6,-6,-6,-6,-6,-6,7,1,2,2,7,1,1,7,2,-6,1,1,2,1,2,-6,-6,-6,-6,-6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","0068","00680",1,1,2,7,-6,4,-6,4,-6,7,-6,7,-6,7,-6,2,-6,4,-6,2,-6,1,5,35,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,4,4,4,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","0069","00690",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","0070","00700",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","0071","00710",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","0072","00720",1,2,1,7,-6,7,-6,7,-6,7,-6,7,-6,7,-6,7,-6,7,-6,2,-6,1,3,35,-6,-6,-6,-6,1,1,3,3,3,3,3,3,2,-6,2,1,2,3,2,-6,-6,-6,-6,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","0073","00730",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","0074","00740",1,2,1,7,-6,5,-6,5,-6,1,-6,7,-6,3,-6,3,-6,1,-6,1,3,1,3,40,-6,-6,-6,-6,1,3,3,1,5,1,2,3,1,3,1,1,1,1,1,-6,-6,-6,-6,1,2,4,4,4,4,5,4,5,5,4,5,4,4
"75","0075","00750",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","0076","00760",1,2,3,5,-6,4,-6,4,-6,7,-6,7,-6,2,-6,2,-6,7,-6,2,-6,1,1,40,-6,-6,-6,-6,5,3,4,7,7,5,2,7,2,-6,1,1,1,1,1,-6,-6,-6,-6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","0077","00770",1,2,1,0,-6,1,-6,1,-6,1,-6,3,-6,2,-6,3,-6,7,-6,1,3,1,4,20,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,4,4,4,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","0078","00780",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","0079","00790",1,1,1,2,-6,3,-6,2,-6,2,-6,3,-6,2,-6,2,-6,2,-6,2,-6,2,-6,-6,-6,-6,-6,-6,0,2,1,2,3,4,2,2,2,-6,1,2,2,1,2,-6,-6,-6,-6,-6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","0080","00800",1,2,2,1,-6,7,-6,3,-6,7,-6,7,-6,5,-6,1,-6,3,-6,2,-6,1,2,20,-6,-6,-6,-6,4,7,5,2,7,4,1,2,2,-6,1,1,1,1,1,-6,-6,-6,-6,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","0081","00810",1,1,1,5,-6,3,-6,0,-6,5,-6,7,-6,3,-6,3,-6,5,-6,1,4,1,1,40,-6,-6,-6,-6,-2,-2,-2,-2,-2,-2,-2,-2,1,4,2,1,3,3,1,1,1,1,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","0082","00820",1,1,1,4,-6,3,-6,4,-6,3,-6,7,-6,3,-6,4,-6,7,-6,2,-6,2,-6,-6,-6,-6,-6,-6,5,0,4,2,7,1,2,5,2,-6,1,2,3,2,4,-6,-6,-6,-6,-6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
