"","idnum","mothid3","cm3fint","m3a4","m3a4b","m3a8c","m3a9","cm3age","cm3b_age","m3a4a","m3a4a1","m3a4a2","m3b4a","m3b4c","m3b4d","m3b4e","m3b4f","m3b4b","m3b4m","m3b4g","m3b4h","m3b4i","m3b4k","m3b4l","m3b5","m3b5a","m3b7","m3b7a","m3c1","m3c1a","m3c2a","m3c2b1","m3c2b2","m3c2c","m3c2d","m3c3a","m3c3f","m3c3g","m3c3h","m3c3j","m3c3b","m3c3m","m3c4","m3c3c","m3c3d","m3c3e","m3c3i","m3c3k","m3c3l"
"997","0997","09970",1,1,-6,1,-6,34,33,-6,1,1,7,7,5,7,5,7,7,7,5,7,2,7,2,-6,2,-6,1,-6,-6,-6,-6,-6,-6,5,0,5,2,2,7,0,2,7,0,5,7,2,0
"998","0998","09980",0,3,-6,2,5,21,35,-6,-6,-6,7,7,3,7,5,7,7,1,2,7,1,7,1,4,2,-6,2,2,0,6,2002,1,720,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"999","0999","09990",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"1000","1000","10000",0,4,-6,2,5,20,44,-6,-6,-6,3,7,3,0,3,7,7,3,1,4,0,0,1,3,2,-6,2,2,0,-2,-2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"1001","1001","10010",0,3,-6,2,6,23,35,-6,-6,-6,7,7,2,3,7,7,3,0,7,7,1,0,2,-6,2,-6,2,2,2,-6,-6,2,-6,0,0,0,0,0,0,1,2,0,0,0,0,2,0
"1002","1002","10020",1,1,-6,1,-6,21,38,-6,1,1,5,7,7,4,5,7,7,7,7,7,2,0,1,4,2,-6,1,-6,-6,-6,-6,-6,-6,7,1,1,7,1,7,4,2,7,2,7,5,3,0
"1003","1003","10030",1,1,-6,1,-6,26,39,-6,1,1,2,5,5,1,4,7,7,4,4,5,3,1,1,3,2,-6,1,-6,-6,-6,-6,-6,-6,1,2,2,2,7,3,2,1,7,3,0,3,4,1
"1004","1004","10040",0,4,-6,2,1,34,33,-6,-6,-6,7,7,7,7,7,7,7,7,7,7,2,7,2,-6,2,-6,2,2,30,-6,-6,1,35,2,4,4,7,7,7,7,2,7,4,4,7,3,4
"1005","1005","10050",1,4,-6,2,1,25,35,-6,-6,-6,7,7,7,7,7,7,7,7,6,5,2,1,2,-6,2,-6,2,2,30,-6,-6,1,-2,5,2,5,4,5,7,3,2,7,7,4,6,3,2
"1006","1006","10060",0,-14,-6,-6,-14,18,38,-6,-6,-6,7,7,7,7,7,7,7,7,7,7,3,7,2,-6,1,50,2,1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"1007","1007","10070",0,1,-6,1,-6,22,34,-6,1,1,7,7,7,7,7,7,7,7,7,7,1,7,2,-6,2,-6,1,-6,-6,-6,-6,-6,-6,7,7,7,7,2,7,7,2,7,3,7,7,1,2
"1008","1008","10080",0,1,-6,1,-6,23,38,-6,1,1,1,5,1,3,2,4,7,2,7,5,1,0,1,4,2,-6,1,-6,-6,-6,-6,-6,-6,2,1,1,3,2,4,2,2,4,0,3,4,1,0
"1009","1009","10090",1,5,-6,2,6,32,38,-6,-6,-6,0,4,0,0,0,7,7,0,0,5,0,0,2,-6,1,40,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
