"","idnum","mothid3","cm3fint","m3a4","m3a4b","m3a8c","m3a9","cm3age","cm3b_age","m3a4a","m3a4a1","m3a4a2","m3b4a","m3b4c","m3b4d","m3b4e","m3b4f","m3b4b","m3b4m","m3b4g","m3b4h","m3b4i","m3b4k","m3b4l","m3b5","m3b5a","m3b7","m3b7a","m3c1","m3c1a","m3c2a","m3c2b1","m3c2b2","m3c2c","m3c2d","m3c3a","m3c3f","m3c3g","m3c3h","m3c3j","m3c3b","m3c3m","m3c4","m3c3c","m3c3d","m3c3e","m3c3i","m3c3k","m3c3l"
"2113","2113","21130",1,1,-6,1,-6,25,36,-6,1,1,1,7,4,1,0,7,7,0,3,0,1,0,1,4,1,50,1,-6,-6,-6,-6,-6,-6,1,0,0,3,1,5,2,1,7,4,0,0,1,0
"2114","2114","21140",1,4,-6,2,2,27,33,-6,-6,-6,7,7,3,3,7,7,7,7,7,7,3,1,1,4,1,30,2,2,9,-6,-6,1,210,1,2,2,1,0,2,2,2,4,1,1,1,1,2
"2115","2115","21150",0,5,-6,2,6,30,34,-6,-6,-6,1,6,2,3,4,7,7,3,2,3,1,3,2,-6,2,-6,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"2116","2116","21160",1,5,-6,2,4,23,34,-6,-6,-6,7,7,7,4,7,7,7,7,7,7,3,7,1,4,1,38,2,2,3,-6,-6,1,10,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
"2117","2117","21170",0,2,7,1,-6,25,35,1,1,2,3,7,3,3,7,7,7,7,2,4,2,7,1,4,2,-6,1,-6,-6,-6,-6,-6,-6,2,2,2,1,2,7,2,2,7,2,2,3,3,3
"2118","2118","21180",0,5,-6,-6,-6,22,35,-6,-6,-6,7,7,7,7,7,7,7,7,7,7,1,0,1,2,2,-6,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"2119","2119","21190",1,2,7,1,-6,24,34,1,1,2,7,7,7,7,7,7,7,7,7,0,1,0,2,-6,1,35,1,-6,-6,-6,-6,-6,-6,2,2,2,2,2,7,0,1,7,2,2,-2,1,0
"2120","2120","21200",1,5,-6,2,3,21,42,-6,-6,-6,7,7,7,0,2,7,7,2,7,7,2,0,1,1,1,30,2,2,0,6,2001,1,21,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"2121","2121","21210",1,2,2,2,1,26,37,1,3,2,4,7,5,3,5,7,4,5,3,7,3,3,1,4,1,40,2,2,30,-6,-6,1,60,2,5,3,2,5,7,5,2,7,5,2,7,3,2
"2122","2122","21220",1,2,0,2,3,24,33,1,4,2,7,7,7,7,4,7,7,4,6,6,3,0,2,-6,1,40,2,2,0,8,2002,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"2123","2123","21230",1,2,7,1,-6,31,34,1,1,2,7,7,5,7,7,7,7,5,7,6,2,0,2,-6,1,40,1,-6,-6,-6,-6,-6,-6,6,5,5,7,2,7,5,2,7,3,7,5,2,0
"2124","2124","21240",1,1,-6,1,-6,22,36,-6,1,1,7,7,7,7,7,7,7,7,7,7,1,0,1,2,2,-6,1,-6,-6,-6,-6,-6,-6,3,5,3,7,3,7,7,2,7,5,7,7,2,0
"2125","2125","21250",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"2126","2126","21260",1,1,-6,1,-6,28,33,-6,1,1,7,7,3,7,7,7,7,7,7,7,3,2,2,-6,2,-6,1,-6,-6,-6,-6,-6,-6,3,7,7,2,7,4,3,2,7,2,3,7,2,7
"2127","2127","21270",1,1,-6,1,-6,31,40,-6,1,1,7,7,0,7,7,7,5,7,7,5,1,7,2,-6,1,18,1,-6,-6,-6,-6,-6,-6,3,1,1,4,0,7,2,2,4,7,4,2,1,2
"2128","2128","21280",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"2129","2129","21290",1,2,7,1,-6,23,37,1,1,2,4,7,5,0,2,7,7,2,0,5,1,7,1,2,1,40,1,-6,-6,-6,-6,-6,-6,3,0,0,0,6,7,7,1,7,0,0,5,1,7
"2130","2130","21300",1,1,0,2,2,23,36,-6,4,2,7,7,7,7,4,7,7,4,7,7,2,0,1,3,1,40,2,2,2,-6,-6,1,90,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"2131","2131","21310",1,4,-6,2,3,43,36,-6,-6,-6,3,7,2,7,5,7,7,5,3,7,0,7,2,-6,1,20,2,2,3,-6,-6,1,2,0,0,0,7,7,0,7,1,7,0,0,0,0,7
"2132","2132","21320",1,4,-6,2,3,22,38,-6,-6,-6,2,7,7,7,1,7,7,0,5,7,1,0,1,2,1,42,2,2,0,5,2002,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"2133","2133","21330",1,2,7,1,-6,41,34,1,1,2,5,7,7,6,7,7,6,5,7,7,1,7,2,-6,2,-6,1,-6,-6,-6,-6,-6,-6,5,4,5,5,0,7,1,2,7,5,6,4,1,6
"2134","2134","21340",1,2,3,1,-6,25,37,1,1,2,7,7,0,7,2,7,7,2,4,7,0,0,2,-6,1,12,1,-6,-6,-6,-6,-6,-6,7,2,2,7,0,7,0,2,7,0,7,7,0,0
"2135","2135","21350",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"2136","2136","21360",0,4,-6,2,5,20,33,-6,-6,-6,7,7,7,0,4,7,7,0,7,4,3,0,2,-6,2,-6,2,2,2,-6,-6,1,-2,0,0,0,0,0,2,0,2,7,0,0,0,0,0
"2137","2137","21370",1,2,7,1,-6,41,34,1,1,2,3,7,7,3,4,7,3,4,3,5,1,0,2,-6,1,40,1,-6,-6,-6,-6,-6,-6,5,5,5,5,1,7,5,2,7,7,5,7,2,4
"2138","2138","21380",0,2,7,1,-6,27,34,1,1,2,7,7,7,7,7,7,7,7,7,7,1,0,1,3,1,40,1,-6,-6,-6,-6,-6,-6,7,7,7,7,3,7,7,1,7,7,7,7,0,0
"2139","2139","21390",1,2,0,2,3,21,35,1,4,2,7,7,7,7,2,7,7,2,7,7,1,7,1,2,2,-6,2,2,0,12,2001,1,20,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"2140","2140","21400",1,5,-6,2,6,30,36,-6,-6,-6,2,7,1,7,7,7,4,2,2,7,7,2,1,4,1,45,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"2141","2141","21410",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"2142","2142","21420",1,1,-6,1,-6,33,35,-6,1,1,7,7,2,4,4,7,7,2,7,7,1,3,1,4,1,4,1,-6,-6,-6,-6,-6,-6,7,3,1,1,2,7,3,1,7,1,3,7,1,2
"2143","2143","21430",1,3,-6,2,2,35,40,-6,-6,-6,7,7,7,7,7,7,7,7,7,7,1,2,1,4,1,45,2,2,7,-6,-6,1,14,1,0,1,1,1,1,1,1,1,0,1,0,1,1
"2144","2144","21440",1,2,7,1,-6,31,34,1,1,2,7,7,3,2,7,7,7,1,7,7,1,7,1,4,1,36,1,-6,-6,-6,-6,-6,-6,7,4,5,4,3,7,5,1,7,3,4,5,1,5
"2145","2145","21450",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"2146","2146","21460",0,3,-6,2,1,24,43,-6,-6,-6,6,7,5,3,7,7,7,7,7,7,2,0,1,4,1,40,2,2,5,-6,-6,1,300,0,0,0,0,2,2,0,2,2,2,2,2,0,0
"2147","2147","21470",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"2148","2148","21480",1,2,7,1,-6,22,34,1,1,2,7,7,4,7,2,7,7,2,5,7,1,2,1,4,2,-6,1,-6,-6,-6,-6,-6,-6,2,-2,-2,3,7,7,7,2,-2,3,4,0,1,1
"2149","2149","21490",1,1,-6,1,-6,26,33,-6,1,1,7,7,3,4,3,7,7,3,7,3,4,0,1,3,2,-6,1,-6,-6,-6,-6,-6,-6,2,3,3,4,2,3,3,1,7,1,2,3,3,1
"2150","2150","21500",1,1,-6,1,-6,31,36,-6,1,1,7,7,3,4,4,7,7,4,7,7,1,7,1,4,2,-6,1,-6,-6,-6,-6,-6,-6,-2,-2,-2,3,1,7,7,2,7,-2,1,7,1,7
"2151","2151","21510",0,1,0,2,5,21,33,-6,4,2,7,7,7,0,7,7,7,7,7,7,3,0,1,2,2,-6,2,2,0,4,2002,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"2152","2152","21520",1,1,-6,1,-6,27,36,-6,1,1,3,7,0,0,0,7,0,2,2,7,2,0,2,-6,1,40,1,-6,-6,-6,-6,-6,-6,2,0,2,2,0,3,4,2,-2,2,2,2,2,0
"2153","2153","21530",0,4,-6,2,2,24,43,-6,-6,-6,5,7,7,7,7,7,7,5,4,7,2,0,1,1,2,-6,2,2,0,4,2003,1,270,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"2154","2154","21540",0,3,-6,2,3,24,39,-6,-6,-6,7,7,7,7,5,7,7,5,7,7,3,0,2,-6,2,-6,2,2,4,-6,-6,1,2,0,3,3,3,3,3,3,2,3,3,3,3,0,0
"2155","2155","21550",1,5,-6,2,5,25,33,-6,-6,-6,3,7,3,3,7,7,7,7,3,7,3,3,2,-6,1,30,2,2,5,-6,-6,1,4,2,7,7,7,7,7,7,2,7,2,7,7,3,7
"2156","2156","21560",1,2,7,1,-6,23,36,1,1,2,0,7,7,7,7,7,7,0,7,7,2,7,2,-6,2,-6,1,-6,-6,-6,-6,-6,-6,2,7,7,7,0,7,7,2,7,7,7,7,2,3
"2157","2157","21570",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"2158","2158","21580",0,5,-6,2,6,35,39,-6,-6,-6,3,7,7,7,7,7,7,7,7,7,1,1,1,4,1,40,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"2159","2159","21590",1,1,-6,1,-6,38,34,-6,1,1,7,7,7,7,5,7,6,5,3,7,1,7,1,3,2,-6,1,-6,-6,-6,-6,-6,-6,2,3,3,1,2,7,2,2,7,3,3,6,1,2
"2160","2160","21600",1,1,-6,1,-6,31,33,-6,1,1,4,7,0,4,3,7,7,3,0,2,0,7,1,4,1,2,1,-6,-6,-6,-6,-6,-6,2,1,1,1,2,7,3,1,7,2,1,1,0,4
"2161","2161","21610",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"2162","2162","21620",1,4,-6,2,1,24,34,-6,-6,-6,7,7,7,4,7,7,7,7,7,7,1,0,1,4,1,30,2,2,15,-6,-6,1,-2,-2,4,4,4,1,4,4,2,7,4,-2,4,2,0
"2163","2163","21630",1,2,7,1,-6,22,36,1,1,2,7,7,7,7,0,7,7,0,7,7,0,3,1,4,2,-6,1,-6,-6,-6,-6,-6,-6,3,0,0,7,2,7,4,2,7,7,7,7,0,2
"2164","2164","21640",1,5,-6,2,6,22,34,-6,-6,-6,7,7,1,3,7,7,7,7,2,4,3,0,2,-6,1,50,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"2165","2165","21650",0,3,-6,2,6,26,34,-6,-6,-6,7,7,0,7,0,7,7,3,7,0,2,0,1,2,2,-6,2,2,0,2,2002,1,600,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"2166","2166","21660",1,2,7,1,-6,30,33,1,1,2,7,7,7,7,4,7,7,7,0,7,1,0,2,-6,2,-6,1,-6,-6,-6,-6,-6,-6,7,2,7,0,0,7,7,2,7,7,7,7,1,0
"2167","2167","21670",1,1,-6,1,-6,28,35,-6,1,1,5,5,0,7,5,7,7,5,7,5,1,4,1,2,1,40,1,-6,-6,-6,-6,-6,-6,3,1,3,7,0,7,2,1,5,2,4,4,1,4
"2168","2168","21680",1,1,-6,1,-6,22,38,-6,1,1,5,7,3,4,2,7,3,3,7,3,2,7,2,-6,2,-6,1,-6,-6,-6,-6,-6,-6,3,3,3,4,3,7,4,2,7,4,4,4,2,3
"2169","2169","21690",1,1,-6,1,-6,35,35,-6,1,1,7,7,7,5,7,7,7,7,7,7,5,1,1,4,1,40,1,-6,-6,-6,-6,-6,-6,7,7,7,7,2,7,5,2,7,5,5,7,5,0
"2170","2170","21700",1,2,3,2,1,26,39,1,4,2,5,7,7,7,7,7,7,7,7,7,4,0,2,-6,2,-6,2,2,30,-6,-6,1,50,7,7,7,7,7,7,2,2,7,7,7,7,4,0
"2171","2171","21710",1,1,-6,1,-6,18,34,-6,1,1,7,7,0,7,7,7,7,7,2,7,2,0,2,-6,2,-6,1,-6,-6,-6,-6,-6,-6,7,7,7,7,2,7,7,2,7,0,7,7,2,0
"2172","2172","21720",1,1,-6,1,-6,36,35,-6,1,1,7,7,7,7,7,7,4,7,7,7,1,4,2,-6,1,12,1,-6,-6,-6,-6,-6,-6,0,4,3,4,2,7,3,2,7,4,5,7,0,3
"2173","2173","21730",0,1,-6,1,-6,35,39,-6,1,1,5,7,7,0,7,7,7,7,5,6,0,7,2,-6,1,34,1,-6,-6,-6,-6,-6,-6,0,0,0,0,3,5,1,1,5,7,0,7,3,1
"2174","2174","21740",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"2175","2175","21750",1,2,7,1,-6,27,33,1,1,2,2,7,7,3,4,7,7,7,3,7,3,0,1,4,2,-6,1,-6,-6,-6,-6,-6,-6,2,3,7,3,7,7,7,1,7,4,2,5,3,0
"2176","2176","21760",0,5,-6,2,4,24,33,-6,-6,-6,5,7,7,7,7,7,7,7,7,7,1,0,1,4,2,-6,2,2,0,-2,2002,1,1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"2177","2177","21770",0,3,-6,2,6,45,44,-6,-6,-6,0,7,4,4,7,7,7,7,5,7,3,7,2,-6,1,17,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"2178","2178","21780",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"2179","2179","21790",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"2180","2180","21800",1,4,-6,2,3,23,41,-6,-6,-6,7,7,5,7,4,7,7,7,3,7,1,0,2,-6,1,25,2,2,2,-6,-6,1,-2,0,1,1,1,0,1,1,2,5,0,1,1,0,0
"2181","2181","21810",1,2,7,1,-6,24,34,1,1,2,7,7,7,7,7,7,7,7,7,7,1,7,2,-6,2,-6,1,-6,-6,-6,-6,-6,-6,7,7,7,7,2,7,4,2,7,7,7,7,1,7
"2182","2182","21820",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"2183","2183","21830",0,2,3,2,1,21,36,1,4,2,7,7,7,4,7,7,7,7,4,7,2,0,2,-6,1,5,2,2,20,-6,-6,1,480,7,7,7,3,1,7,7,2,7,7,7,7,2,7
"2184","2184","21840",1,1,-6,1,-6,28,37,-6,1,1,7,7,7,7,7,7,7,7,7,7,2,7,1,4,1,30,1,-6,-6,-6,-6,-6,-6,7,7,7,7,7,7,7,1,7,7,7,7,2,7
"2185","2185","21850",1,5,-6,2,6,29,38,-6,-6,-6,4,7,7,4,7,7,7,7,4,7,0,0,1,3,1,72,2,2,0,8,2001,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"2186","2186","21860",1,4,-6,2,1,26,36,-6,-6,-6,7,7,4,7,4,7,4,7,7,7,3,0,2,-6,1,4,2,2,20,-6,-6,1,400,3,2,1,4,0,7,2,2,4,4,4,4,1,0
"2187","2187","21870",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"2188","2188","21880",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"2189","2189","21890",1,5,-6,2,3,16,33,-6,-6,-6,7,7,7,7,7,7,7,7,7,7,0,0,1,4,2,-6,2,2,1,-6,-6,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"2190","2190","21900",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"2191","2191","21910",1,1,-6,1,-6,29,33,-6,1,1,0,7,7,2,5,7,7,5,7,7,4,0,1,4,1,40,1,-6,-6,-6,-6,-6,-6,0,2,2,2,1,7,4,2,7,7,0,2,4,0
"2192","2192","21920",1,4,-6,2,1,25,40,-6,-6,-6,5,7,3,1,1,7,7,1,3,7,0,2,2,-6,2,-6,2,2,25,-6,-6,1,730,1,1,1,2,2,5,2,2,5,0,2,5,0,1
"2193","2193","21930",0,4,-6,2,3,22,35,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"2194","2194","21940",1,5,-6,2,6,22,37,-6,-6,-6,4,7,3,7,2,7,7,3,7,1,0,7,2,-6,2,-6,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"2195","2195","21950",1,2,7,1,-6,24,38,1,1,2,7,7,4,5,7,7,7,7,7,7,1,0,2,-6,1,32,1,-6,-6,-6,-6,-6,-6,5,7,7,4,2,7,3,2,7,5,7,7,2,0
"2196","2196","21960",1,4,-6,2,1,29,33,-6,-6,-6,3,7,4,4,3,7,4,3,7,7,1,6,1,4,1,40,2,2,27,-6,-6,1,-2,1,1,1,3,1,5,2,1,7,3,1,7,1,3
"2197","2197","21970",1,5,-6,2,3,23,36,-6,-6,-6,2,7,7,5,5,7,5,5,7,7,2,7,1,4,1,20,2,2,1,-6,-6,1,15,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"2198","2198","21980",1,1,-6,1,-6,43,33,-6,1,1,7,7,7,3,7,7,7,7,7,7,0,1,2,-6,2,-6,1,-6,-6,-6,-6,-6,-6,2,3,3,7,1,7,1,2,7,7,0,7,0,1
"2199","2199","21990",1,2,7,1,-6,34,42,1,1,2,5,7,1,0,2,7,7,0,4,4,0,0,1,4,2,-6,1,-6,-6,-6,-6,-6,-6,1,0,2,0,5,7,0,2,7,0,1,3,0,0
"2200","2200","22000",1,4,-6,2,5,19,39,-6,-6,-6,2,7,7,5,2,7,7,3,7,7,4,7,1,4,1,21,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"2201","2201","22010",0,5,-6,2,5,25,36,-6,-6,-6,7,7,2,3,7,7,7,7,4,4,2,0,1,4,1,30,2,2,0,4,2002,1,15,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"2202","2202","22020",1,1,-6,1,-6,33,33,-6,1,1,3,5,0,3,3,4,5,3,2,2,1,1,2,-6,2,-6,1,-6,-6,-6,-6,-6,-6,2,3,3,3,1,5,3,2,5,2,4,3,1,1
"2203","2203","22030",1,4,-6,2,4,29,38,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"2204","2204","22040",1,5,-6,2,5,22,36,-6,-6,-6,7,7,7,7,7,7,7,7,7,7,2,0,1,3,2,-6,2,2,0,2,2002,1,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"2205","2205","22050",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"2206","2206","22060",1,4,-6,2,2,23,38,-6,-6,-6,7,7,7,3,4,7,7,3,7,7,2,0,1,4,1,36,2,2,17,-6,-6,2,-6,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2
"2207","2207","22070",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"2208","2208","22080",1,1,-6,1,-6,34,34,-6,1,1,7,7,4,7,7,7,7,7,7,7,1,0,2,-6,2,-6,1,-6,-6,-6,-6,-6,-6,2,5,2,7,3,7,3,2,7,1,2,7,1,0
"2209","2209","22090",1,4,-6,2,2,24,38,-6,-6,-6,5,7,5,5,5,5,5,5,5,5,3,0,2,-6,2,-6,2,2,16,-6,-6,1,16,-2,-2,-2,-2,-2,3,3,2,3,-2,-2,3,-2,-2
"2210","2210","22100",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"2211","2211","22110",1,4,-6,2,3,34,34,-6,-6,-6,7,7,7,7,7,7,7,7,7,7,2,0,2,-6,2,-6,2,2,0,8,2002,1,100,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"2212","2212","22120",1,1,-6,1,-6,42,35,-6,1,1,3,7,7,7,2,7,7,2,0,0,1,0,2,-6,2,-6,1,-6,-6,-6,-6,-6,-6,3,1,3,0,1,7,5,2,7,3,4,3,1,2
"2213","2213","22130",0,1,-6,1,-6,43,33,-6,1,1,7,7,3,2,4,7,2,3,7,7,3,7,1,4,1,5,1,-6,-6,-6,-6,-6,-6,7,7,3,2,2,7,7,1,3,3,2,4,3,7
"2214","2214","22140",1,2,7,1,-6,25,33,1,1,2,2,7,3,3,3,7,7,2,4,7,1,3,1,2,1,40,1,-6,-6,-6,-6,-6,-6,1,1,0,5,2,7,3,1,7,3,3,3,1,2
"2215","2215","22150",1,4,-6,2,2,22,34,-6,-6,-6,7,7,4,0,7,7,5,7,7,4,4,2,1,4,1,45,2,2,7,-6,-6,2,-6,2,3,3,3,0,5,0,2,6,0,0,3,2,0
"2216","2216","22160",1,1,-6,1,-6,21,37,-6,1,1,3,7,5,2,3,7,7,3,7,7,2,0,1,4,2,-6,1,-6,-6,-6,-6,-6,-6,7,3,2,7,4,7,7,1,7,4,4,7,2,0
"2217","2217","22170",1,2,7,1,-6,21,34,1,1,2,7,7,7,7,7,7,7,7,3,7,3,7,1,2,2,-6,1,-6,-6,-6,-6,-6,-6,7,4,0,2,7,7,7,2,7,7,3,7,3,7
"2218","2218","22180",1,2,7,1,-6,31,33,1,1,2,7,7,7,7,4,7,0,4,7,7,0,0,1,3,2,-6,1,-6,-6,-6,-6,-6,-6,7,2,2,7,0,7,0,2,7,7,7,7,1,0
"2219","2219","22190",1,2,7,1,-6,23,34,1,1,2,4,7,7,4,3,7,7,4,7,7,5,2,1,4,2,-6,1,-6,-6,-6,-6,-6,-6,1,1,2,3,2,3,7,1,4,7,5,5,5,2
"2220","2220","22200",0,5,-6,2,6,39,34,-6,-6,-6,7,7,7,7,7,7,7,7,7,7,2,0,2,-6,2,-6,2,2,0,9,2002,1,1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"2221","2221","22210",0,1,-6,1,-6,27,50,-6,1,1,7,7,7,7,0,7,7,7,3,7,2,2,2,-6,2,-6,1,-6,-6,-6,-6,-6,-6,4,4,2,2,2,7,0,2,7,2,0,7,2,3
"2222","2222","22220",1,2,7,1,-6,29,34,1,1,2,7,7,7,7,5,7,7,5,7,7,2,0,1,3,2,-6,1,-6,-6,-6,-6,-6,-6,2,0,2,7,2,7,0,1,7,5,7,7,2,0
"2223","2223","22230",0,1,-6,1,-6,24,36,-6,1,1,1,7,7,0,2,7,7,2,7,7,0,0,2,-6,2,-6,1,-6,-6,-6,-6,-6,-6,1,7,1,1,2,7,0,2,7,1,0,7,0,0
"2224","2224","22240",1,2,7,1,-6,25,34,1,1,2,5,7,7,7,5,7,7,5,5,7,1,0,2,-6,1,3,1,-6,-6,-6,-6,-6,-6,7,7,7,7,7,7,7,2,7,7,7,7,1,0
