"","idnum","mothid2","cm2fint","m2a4","m2a4d","m2a10","m2a11","cm2age","cm2b_age","m2b15","m2b18a","m2b18b","m2b18c","m2b18d","m2b18e","m2b18f","m2b18g","m2b18h","m2b19","m2b19a","mx2b20b","m2b21","m2b21a","m2c1","m2c1a","m2c2a","m2c2b1","m2c2b2","m2c2e","m2c2f","m2c3a","m2c3b","m2c3c","m2c3d","m2c3e","m2c3f","m2c3g","m2c3h","m2c3i","m2c3j","mx2c2c","m2c4"
"4627","4627","46270",0,-6,-6,2,3,22,14,0,7,7,5,5,7,7,7,7,2,-6,-5,1,40,2,2,0,2,2000,1,1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6
"4628","4628","46280",0,-6,-6,2,5,21,14,0,201,201,202,-5,-5,-5,-5,-5,2,-6,4,2,-6,2,2,3,-6,-6,-5,-5,-5,-5,204,-5,204,-5,-5,204,-5,-5,3,2
"4629","4629","46290",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"4630","4630","46300",1,-6,-6,2,0,21,13,0,7,2,7,0,7,2,7,2,2,-6,-5,2,-6,2,2,0,12,2000,1,20,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6
"4631","4631","46310",0,-6,-6,2,3,21,24,0,5,5,5,5,5,5,5,5,1,2,-5,2,-6,2,2,1,-6,-6,1,30,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6
"4632","4632","46320",1,-6,-6,1,-6,27,12,0,5,7,7,4,7,1,7,7,2,-6,-5,1,6,1,-6,-6,-6,-6,-6,-6,4,7,5,3,7,1,7,7,7,7,-5,2
"4633","4633","46330",1,-6,-6,2,3,18,21,0,7,7,4,0,7,7,7,7,1,1,-5,2,-6,2,2,2,-6,-6,1,10,0,0,0,0,0,2,2,0,2,1,-5,1
"4634","4634","46340",1,-6,-6,1,-6,24,14,0,4,5,7,7,7,5,7,7,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,5,7,7,7,7,4,7,7,7,7,-5,2
"4635","4635","46350",1,-6,-6,1,-6,20,13,0,3,7,4,4,7,0,7,5,2,-6,-5,1,40,1,-6,-6,-6,-6,-6,-6,3,7,7,7,7,0,7,7,7,7,-5,2
"4636","4636","46360",0,-6,-6,1,-6,23,20,0,5,5,3,3,5,5,7,7,1,4,-5,1,-2,1,-6,-6,-6,-6,-6,-6,7,5,1,1,5,3,7,7,7,5,-5,2
"4637","4637","46370",1,-6,-6,1,-6,32,17,0,201,201,201,202,201,203,201,201,2,-6,-5,1,50,1,-6,-6,-6,-6,-6,-6,201,201,201,202,201,202,201,201,201,202,-5,2
"4638","4638","46380",1,-6,-6,1,-6,24,12,0,7,7,3,4,7,2,7,7,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,7,2,4,4,4,2,7,7,7,7,-5,2
"4639","4639","46390",1,-6,-6,2,1,28,13,0,5,3,4,5,5,2,7,7,2,-6,-5,1,5,1,-6,-6,-6,-6,-6,-6,5,1,3,0,2,4,5,3,5,5,-5,2
"4640","4640","46400",0,-6,-6,2,1,22,16,0,7,7,7,7,7,5,7,7,2,-6,-5,2,-6,2,2,6,-6,-6,1,-2,2,2,-2,2,2,2,2,2,2,2,-5,2
"4641","4641","46410",0,-6,-6,2,3,20,12,0,7,7,4,4,7,3,7,7,2,-6,-5,2,-6,2,2,-2,-6,-6,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6
"4642","4642","46420",1,-6,-6,1,-6,25,25,0,5,5,4,3,4,3,7,7,1,2,-5,2,-6,1,-6,-6,-6,-6,-6,-6,2,2,1,1,1,2,6,3,7,1,-5,2
"4643","4643","46430",1,-6,-6,1,-6,38,16,0,201,201,201,201,201,201,201,201,1,3,-5,1,42,1,-6,-6,-6,-6,-6,-6,201,201,201,201,201,201,201,201,201,201,-5,1
"4644","4644","46440",1,-6,-6,2,1,22,11,0,7,7,7,7,7,3,7,7,2,-6,-5,1,20,2,2,21,-6,-6,1,90,3,3,3,3,3,0,3,3,3,3,-5,2
"4645","4645","46450",0,-6,-6,2,0,35,25,0,1,3,2,1,1,1,7,7,1,1,-5,1,28,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6
"4646","4646","46460",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"4647","4647","46470",1,-6,-6,1,-6,29,12,0,6,5,1,3,7,4,7,7,2,-6,-5,1,10,1,-6,-6,-6,-6,-6,-6,5,3,0,1,7,3,7,7,7,5,-5,2
"4648","4648","46480",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"4649","4649","46490",1,-6,-6,2,1,29,11,0,7,7,4,4,7,-2,7,7,2,-6,-5,2,-6,2,2,5,-6,-6,1,1,1,1,1,1,1,0,0,0,1,1,-5,2
"4650","4650","46500",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"4651","4651","46510",1,-6,-6,2,1,22,12,0,7,7,5,3,7,4,7,5,2,-6,-5,1,48,2,2,20,-6,-6,1,30,3,0,1,3,4,1,0,3,4,4,-5,2
"4652","4652","46520",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"4653","4653","46530",1,-6,-6,2,1,37,18,0,7,7,1,2,2,0,7,7,2,-6,-5,2,-6,2,2,30,-6,-6,2,-6,3,7,4,3,4,0,0,2,7,3,-5,2
"4654","4654","46540",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"4655","4655","46550",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"4656","4656","46560",0,-6,-6,2,2,20,14,1,7,7,0,0,7,7,7,7,2,-6,-5,1,48,2,2,10,-6,-6,2,-6,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-5,2
"4657","4657","46570",1,-6,-6,1,-6,27,13,0,7,7,7,7,7,1,7,7,1,4,-5,2,-6,1,-6,-6,-6,-6,-6,-6,7,5,5,4,7,1,7,7,7,7,-5,1
