"","idnum","mothid2","cm2fint","m2a4","m2a4d","m2a10","m2a11","cm2age","cm2b_age","m2b15","m2b18a","m2b18b","m2b18c","m2b18d","m2b18e","m2b18f","m2b18g","m2b18h","m2b19","m2b19a","mx2b20b","m2b21","m2b21a","m2c1","m2c1a","m2c2a","m2c2b1","m2c2b2","m2c2e","m2c2f","m2c3a","m2c3b","m2c3c","m2c3d","m2c3e","m2c3f","m2c3g","m2c3h","m2c3i","m2c3j","mx2c2c","m2c4"
"1076","1076","10760",1,-6,-6,1,-6,29,13,0,7,7,7,7,7,1,7,7,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,4,2,2,2,7,1,5,5,7,7,-5,2
"1077","1077","10770",1,-6,-6,1,-6,24,14,0,201,201,202,-5,-5,-5,-5,-5,2,-6,4,2,-6,1,-6,-6,-6,-6,-6,-6,-5,-5,204,-5,201,-5,-5,202,-5,-5,2,2
"1078","1078","10780",1,-6,-6,1,-6,33,13,0,7,7,3,3,7,2,7,7,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,7,4,0,2,0,1,2,0,7,3,-5,2
"1079","1079","10790",1,-6,-6,2,4,24,12,0,5,5,5,5,5,7,7,7,2,-6,-5,1,40,2,2,0,12,2000,1,8,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6
"1080","1080","10800",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"1081","1081","10810",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"1082","1082","10820",1,-6,-6,1,-6,19,19,0,7,0,1,1,7,1,7,7,1,4,-5,2,-6,1,-6,-6,-6,-6,-6,-6,7,0,3,3,7,1,7,7,6,7,-5,2
"1083","1083","10830",1,-6,-6,2,0,24,18,0,7,3,0,0,7,0,7,7,2,-6,-5,2,-6,2,2,0,7,2001,1,10,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6
"1084","1084","10840",1,-6,-6,1,-6,32,23,0,0,0,0,0,7,0,7,7,2,-6,-5,1,99,1,-6,-6,-6,-6,-6,-6,7,0,7,7,7,7,7,7,7,7,-5,2
"1085","1085","10850",0,-6,-6,-6,-6,23,14,0,201,201,201,-5,-5,-5,-5,-5,1,4,4,1,-5,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"1086","1086","10860",0,-6,-6,2,3,15,17,1,2,7,0,0,7,0,7,7,1,4,-5,1,11,2,2,0,11,2000,1,1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6
"1087","1087","10870",1,-6,-6,1,-6,19,17,0,6,2,5,5,7,1,7,7,1,4,-5,1,20,1,-6,-6,-6,-6,-6,-6,3,1,2,0,7,1,7,7,7,7,-5,2
"1088","1088","10880",1,-6,-6,1,-6,22,17,0,3,2,0,0,7,2,7,7,1,3,-5,1,50,1,-6,-6,-6,-6,-6,-6,2,0,0,0,3,0,2,0,7,0,-5,1
"1089","1089","10890",1,-6,-6,2,1,22,16,0,201,201,202,201,201,201,201,201,2,-6,-5,1,40,2,2,30,-6,-6,1,7,201,201,201,202,201,202,201,201,201,202,-5,2
"1090","1090","10900",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"1091","1091","10910",0,-6,-6,2,5,32,12,0,7,3,1,2,7,3,7,7,2,-6,-5,2,-6,2,2,3,-6,-6,2,-6,2,1,2,0,2,0,2,2,2,0,-5,2
"1092","1092","10920",0,-6,-6,1,-6,26,23,0,7,7,4,7,7,1,7,7,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,7,7,7,4,7,3,7,7,7,7,-5,2
"1093","1093","10930",1,-6,-6,-6,-6,40,16,4,7,7,1,1,7,7,7,7,1,4,-5,1,45,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6
"1094","1094","10940",1,-6,-6,1,-6,23,13,0,202,202,204,-5,-5,-5,-5,-5,2,-6,3,2,-6,1,-6,-6,-6,-6,-6,-6,-5,-5,203,-5,201,-5,-5,201,-5,-5,1,2
"1095","1095","10950",1,-6,-6,2,1,23,17,0,201,201,202,202,201,201,201,201,1,4,-5,2,-6,2,2,30,-6,-6,1,40,201,202,202,-3,201,202,201,201,201,202,-5,1
"1096","1096","10960",0,-6,-6,1,-6,35,13,0,7,7,2,2,7,1,7,7,1,4,-5,2,-6,1,-6,-6,-6,-6,-6,-6,5,0,1,0,7,1,1,2,7,0,-5,2
"1097","1097","10970",1,-6,-6,1,-6,34,12,0,202,202,203,-5,-5,-5,-5,-5,2,-6,4,1,-5,1,-6,-6,-6,-6,-6,-6,-5,-5,204,-5,201,-5,-5,201,-5,-5,1,2
"1098","1098","10980",1,-6,-6,1,-6,25,13,0,7,7,7,7,7,4,7,7,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,5,0,0,0,5,7,7,7,5,4,-5,2
"1099","1099","10990",1,-6,-6,1,-6,27,17,0,7,7,7,7,7,2,7,7,1,3,-5,2,-6,1,-6,-6,-6,-6,-6,-6,7,0,4,3,7,2,1,7,7,4,-5,1
"1100","1100","11000",1,-6,-6,1,-6,33,17,0,7,7,4,4,6,7,7,7,2,-6,-5,1,40,1,-6,-6,-6,-6,-6,-6,7,3,3,3,7,4,7,3,7,3,-5,2
"1101","1101","11010",1,-6,-6,1,-6,23,14,0,7,5,3,3,5,2,7,7,2,-6,-5,1,30,1,-6,-6,-6,-6,-6,-6,3,3,0,1,4,1,1,5,7,7,-5,2
"1102","1102","11020",0,-6,-6,1,-6,21,21,0,7,7,7,0,7,2,7,7,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,7,7,1,0,7,1,7,0,7,0,-5,2
"1103","1103","11030",1,-6,-6,2,3,22,22,0,7,7,7,7,7,4,7,7,2,-6,-5,2,-6,2,2,0,2,2001,1,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6
"1104","1104","11040",1,-6,-6,1,-6,25,18,0,7,5,4,0,1,2,7,-2,2,-6,-5,1,15,1,-6,-6,-6,-6,-6,-6,7,2,1,0,3,0,7,7,7,7,-5,2
"1105","1105","11050",1,-6,-6,-6,-6,29,21,0,7,7,7,7,4,2,7,7,2,-6,-5,2,-6,2,1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6
"1106","1106","11060",1,-6,-6,1,-6,29,13,0,7,4,2,0,3,7,7,7,2,-6,-5,1,40,1,-6,-6,-6,-6,-6,-6,3,3,0,2,3,1,7,7,7,5,-5,2
"1107","1107","11070",1,-6,-6,1,-6,29,12,0,4,3,4,7,7,2,7,3,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,3,0,1,2,4,0,7,7,7,7,-5,2
"1108","1108","11080",1,-6,-6,2,3,27,13,0,7,6,4,7,7,4,7,7,2,-6,-5,1,30,2,2,0,5,2001,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6
"1109","1109","11090",1,-6,-6,2,1,23,17,0,201,202,201,202,201,202,201,201,1,4,-5,2,-6,1,-6,-6,-6,-6,-6,-6,201,201,202,202,201,202,202,201,201,202,-5,2
"1110","1110","11100",1,-6,-6,1,-6,26,13,0,7,7,3,3,3,3,7,7,1,4,-5,1,26,1,-6,-6,-6,-6,-6,-6,7,7,2,7,5,3,7,7,7,7,-5,1
"1111","1111","11110",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"1112","1112","11120",1,-6,-6,1,-6,30,19,0,3,7,2,2,1,1,7,7,1,4,-5,2,-6,1,-6,-6,-6,-6,-6,-6,3,1,1,1,2,1,3,3,7,7,-5,2
"1113","1113","11130",1,-6,-6,1,-6,26,11,1,3,7,0,0,4,0,7,7,2,-6,-5,1,72,1,-6,-6,-6,-6,-6,-6,5,2,0,0,7,0,7,7,7,1,-5,2
"1114","1114","11140",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"1115","1115","11150",1,-6,-6,1,-6,23,11,0,7,7,3,3,5,5,7,7,1,4,-5,2,-6,1,-6,-6,-6,-6,-6,-6,7,5,3,3,7,2,7,7,7,7,-5,1
"1116","1116","11160",0,-6,-6,2,4,24,12,0,0,2,0,1,1,0,7,7,2,-6,-5,1,36,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6
"1117","1117","11170",1,-6,-6,2,1,26,13,0,6,6,4,5,3,5,7,7,2,-6,-5,1,40,2,2,24,-6,-6,1,90,3,3,1,1,2,1,3,3,5,1,-5,2
"1118","1118","11180",1,-6,-6,1,-6,21,13,0,7,7,7,7,7,4,7,7,2,-6,-5,1,15,1,-6,-6,-6,-6,-6,-6,5,1,1,0,7,4,7,7,7,5,-5,2
"1119","1119","11190",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"1120","1120","11200",1,-6,-6,1,-6,38,13,0,7,5,5,1,7,0,7,7,2,-6,-5,1,40,1,-6,-6,-6,-6,-6,-6,7,0,5,1,4,0,4,7,7,0,-5,2
"1121","1121","11210",1,-6,-6,1,-6,26,18,0,6,7,5,7,4,7,7,7,2,-6,-5,1,36,1,-6,-6,-6,-6,-6,-6,7,6,5,6,3,7,7,6,7,3,-5,2
"1122","1122","11220",1,-6,-6,2,3,20,12,2,7,7,7,-2,5,2,7,5,2,-6,-5,2,-6,2,2,3,-6,-6,1,20,2,0,0,0,2,0,2,2,2,1,-5,-2
"1123","1123","11230",1,-6,-6,1,-6,32,16,0,201,201,201,-5,-5,-5,-5,-5,2,-6,4,1,-5,1,-6,-6,-6,-6,-6,-6,-5,-5,202,-5,201,-5,-5,204,-5,-5,2,2
"1124","1124","11240",1,-6,-6,2,1,31,13,0,5,5,3,3,4,5,5,5,2,-6,-5,2,-6,2,2,30,-6,-6,1,1,7,0,2,2,7,3,7,7,7,5,-5,2
"1125","1125","11250",0,-6,-6,1,-6,23,12,0,2,7,1,1,3,0,7,7,1,4,-5,2,-6,1,-6,-6,-6,-6,-6,-6,2,0,2,2,3,1,2,7,7,2,-5,2
"1126","1126","11260",1,-6,-6,2,5,25,16,0,202,202,201,205,201,201,201,201,1,3,-5,1,5,2,2,4,-6,-6,1,50,-3,202,202,204,202,203,202,202,202,202,-5,2
"1127","1127","11270",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"1128","1128","11280",1,-6,-6,2,1,21,19,0,7,7,4,3,7,2,7,7,2,-6,-5,1,32,2,2,29,-6,-6,1,-2,3,5,4,4,5,2,-2,5,7,4,-5,2
"1129","1129","11290",0,-6,-6,2,2,30,17,0,7,3,4,1,7,2,7,7,1,4,-5,1,8,2,2,1,-6,-6,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6
"1130","1130","11300",1,-6,-6,1,-6,20,12,0,7,7,7,7,7,7,7,7,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,7,7,7,7,7,7,7,7,7,7,-5,2
"1131","1131","11310",1,-6,-6,2,2,21,13,0,5,7,7,7,3,3,7,7,2,-6,-5,1,3,2,2,7,-6,-6,2,-6,1,0,0,0,1,1,0,1,1,0,-5,2
"1132","1132","11320",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"1133","1133","11330",1,-6,-6,1,-6,22,18,1,7,4,2,4,5,7,7,7,2,-6,-5,1,40,1,-6,-6,-6,-6,-6,-6,5,7,1,1,3,1,7,7,7,7,-5,2
"1134","1134","11340",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"1135","1135","11350",1,-6,-6,1,-6,22,11,0,7,5,7,5,7,5,7,7,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,7,5,7,5,7,5,7,7,7,7,-5,2
"1136","1136","11360",1,-6,-6,2,1,20,16,0,201,201,201,201,201,201,201,201,2,-6,-5,1,30,2,2,30,-6,-6,1,300,201,201,201,201,201,201,201,201,201,201,-5,2
"1137","1137","11370",0,-6,-6,2,2,20,13,0,201,201,201,-5,-5,-5,-5,-5,2,-6,4,1,-5,2,2,18,-6,-6,-5,-5,-5,-5,-2,-5,202,-5,-5,202,-5,-5,2,2
"1138","1138","11380",0,-6,-6,2,4,28,15,0,201,201,201,-5,-5,-5,-5,-5,2,-6,4,2,-6,2,2,18,-6,-6,-5,-5,-5,-5,204,-5,202,-5,-5,202,-5,-5,2,2
"1139","1139","11390",1,-6,-6,1,-6,32,16,0,201,201,202,202,201,202,201,201,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,201,202,202,202,202,203,201,201,201,201,-5,2
"1140","1140","11400",1,-6,-6,1,-6,20,12,0,7,7,5,0,7,2,7,4,2,-6,-5,1,8,1,-6,-6,-6,-6,-6,-6,7,0,5,0,7,2,7,7,7,3,-5,2
"1141","1141","11410",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"1142","1142","11420",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"1143","1143","11430",1,-6,-6,2,3,19,11,0,7,7,4,0,7,2,7,7,2,-6,-5,1,20,2,2,4,-6,-6,1,10,-2,-2,-2,-2,4,0,-2,-2,-2,-2,-5,2
"1144","1144","11440",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"1145","1145","11450",1,-6,-6,2,3,22,24,4,7,7,7,7,7,1,7,7,1,4,-5,1,6,2,2,0,1,2001,1,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6
"1146","1146","11460",1,-6,-6,1,-6,31,12,0,7,7,4,4,7,2,7,7,2,-6,-5,1,38,1,-6,-6,-6,-6,-6,-6,7,7,3,6,6,2,7,7,7,5,-5,2
"1147","1147","11470",0,-6,-6,-6,-6,25,19,0,7,7,7,7,7,5,7,7,2,-6,-5,2,-6,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6
"1148","1148","11480",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"1149","1149","11490",1,-6,-6,2,5,18,18,2,7,7,7,7,7,3,7,7,1,4,-5,2,-6,2,2,0,12,2000,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6
"1150","1150","11500",1,-6,-6,1,-6,31,10,0,4,2,3,2,2,0,7,4,2,-6,-5,1,35,1,-6,-6,-6,-6,-6,-6,5,1,2,5,5,0,7,7,7,3,-5,2
"1151","1151","11510",1,-6,-6,2,1,19,12,0,7,7,4,4,5,5,7,7,2,-6,-5,1,6,1,-6,-6,-6,-6,-6,-6,4,-2,0,0,4,0,5,7,7,2,-5,2
"1152","1152","11520",1,-6,-6,1,-6,20,12,0,7,7,7,7,7,2,7,7,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,4,3,1,1,7,2,0,0,7,0,-5,2
"1153","1153","11530",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"1154","1154","11540",0,-6,-6,1,-6,22,12,7,5,7,5,7,5,2,7,7,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,4,5,3,2,5,2,3,4,7,3,-5,2
"1155","1155","11550",1,-6,-6,1,-6,23,19,0,3,7,4,7,7,1,7,7,1,2,-5,2,-6,1,-6,-6,-6,-6,-6,-6,7,2,1,1,5,0,2,2,7,3,-5,2
"1156","1156","11560",0,-6,-6,2,2,31,13,0,5,7,7,0,5,4,7,7,2,-6,-5,1,36,2,2,7,-6,-6,1,7,7,7,7,0,7,2,7,7,7,7,-5,2
"1157","1157","11570",1,-6,-6,1,-6,40,20,0,7,7,5,3,7,0,7,7,1,4,-5,2,-6,1,-6,-6,-6,-6,-6,-6,7,5,6,7,5,0,5,6,7,6,-5,1
"1158","1158","11580",0,-6,-6,2,0,20,19,1,201,202,201,-5,-5,-5,-5,-5,2,-6,3,1,-5,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"1159","1159","11590",1,-6,-6,1,-6,30,16,0,201,201,201,202,201,202,201,201,2,-6,-5,1,8,1,-6,-6,-6,-6,-6,-6,201,202,201,202,201,202,201,201,201,202,-5,2
"1160","1160","11600",0,-6,-6,1,-6,27,19,0,4,5,7,7,2,2,7,7,2,-6,-5,1,20,1,-6,-6,-6,-6,-6,-6,7,7,7,7,2,2,7,7,7,3,-5,2
"1161","1161","11610",0,-6,-6,1,-6,36,12,0,3,7,2,0,7,0,7,7,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,0,0,0,0,0,0,0,0,7,0,-5,2
"1162","1162","11620",1,-6,-6,1,-6,34,11,0,7,7,7,7,7,2,7,5,2,-6,-5,1,16,1,-6,-6,-6,-6,-6,-6,7,4,7,4,7,2,7,7,7,2,-5,2
"1163","1163","11630",0,-6,-6,1,-6,24,18,0,5,3,7,7,3,7,7,7,1,3,-5,1,40,1,-6,-6,-6,-6,-6,-6,3,0,2,0,4,3,0,7,7,3,-5,2
"1164","1164","11640",1,-6,-6,1,-6,38,17,0,7,7,4,5,7,1,7,7,2,-6,-5,1,18,1,-6,-6,-6,-6,-6,-6,7,5,2,2,7,1,7,7,7,0,-5,2
"1165","1165","11650",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"1166","1166","11660",1,-6,-6,1,-6,32,26,0,7,7,1,2,7,0,7,7,1,4,-5,2,-6,1,-6,-6,-6,-6,-6,-6,7,7,2,1,7,0,3,7,7,2,-5,-2
"1167","1167","11670",1,-6,-6,2,2,40,12,0,5,5,5,5,5,1,7,7,2,-6,-5,1,35,2,2,5,-6,-6,2,-6,1,1,1,1,1,0,1,1,1,1,-5,2
"1168","1168","11680",0,-6,-6,2,1,35,22,1,7,7,4,4,7,3,7,7,1,4,-5,1,16,2,2,2,-6,-6,1,2,0,0,0,0,0,0,0,0,0,0,-5,2
"1169","1169","11690",1,-6,-6,1,-6,21,12,0,7,7,7,1,3,7,7,7,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,7,7,2,1,7,7,7,7,7,2,-5,2
"1170","1170","11700",1,-6,-6,1,-6,28,19,0,7,3,3,4,2,5,7,7,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,3,3,4,3,3,0,4,4,5,4,-5,2
"1171","1171","11710",1,-6,-6,1,-6,32,14,0,7,7,7,7,7,1,7,7,2,-6,-5,1,40,1,-6,-6,-6,-6,-6,-6,7,5,7,5,7,1,5,7,7,1,-5,2
"1172","1172","11720",0,-6,-6,1,-6,21,12,0,7,7,7,7,7,7,7,7,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,7,7,7,7,7,7,7,7,7,7,-5,2
"1173","1173","11730",1,-6,-6,2,1,20,12,0,3,3,0,0,2,7,7,7,2,-6,-5,2,-6,2,2,8,-6,-6,1,-2,2,2,1,1,2,1,2,2,7,1,-5,2
"1174","1174","11740",0,-6,-6,2,3,22,12,0,5,5,3,5,3,5,7,7,2,-6,-5,2,-6,2,2,0,3,2001,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6
"1175","1175","11750",1,-6,-6,1,-6,26,13,1,7,2,7,2,7,3,7,7,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,7,3,3,2,7,3,7,7,7,3,-5,2
"1176","1176","11760",1,-6,-6,1,-6,26,12,0,5,7,3,6,7,3,7,7,2,-6,-5,1,40,1,-6,-6,-6,-6,-6,-6,2,2,0,4,4,3,7,3,7,4,-5,2
"1177","1177","11770",0,-6,-6,2,3,18,18,2,7,3,2,2,7,1,7,7,2,-6,-5,2,-6,2,2,0,8,2000,1,6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6
"1178","1178","11780",1,-6,-6,2,2,29,16,0,4,1,4,3,5,1,7,7,2,-6,-5,2,-6,2,2,4,-6,-6,2,-6,0,0,0,0,2,0,0,0,3,0,-5,2
"1179","1179","11790",0,-6,-6,2,0,28,29,0,7,7,7,7,7,3,7,7,2,-6,-5,2,-6,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6
"1180","1180","11800",1,-6,-6,1,-6,30,14,0,201,201,201,-5,-5,-5,-5,-5,2,-6,4,2,-6,1,-6,-6,-6,-6,-6,-6,-5,-5,202,-5,202,-5,-5,202,-5,-5,2,2
"1181","1181","11810",0,-6,-6,2,3,26,25,2,7,5,7,7,5,7,7,7,2,-6,-5,2,-6,2,2,3,-6,-6,1,2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-5,2
"1182","1182","11820",1,-6,-6,1,-6,30,10,0,5,7,4,4,7,7,7,7,2,-6,-5,1,8,1,-6,-6,-6,-6,-6,-6,4,0,0,0,5,3,3,7,7,4,-5,2
"1183","1183","11830",0,-6,-6,2,2,20,18,0,4,7,1,1,7,3,7,7,1,3,-5,2,-6,2,2,4,-6,-6,1,15,2,-2,0,0,2,1,3,3,3,0,-5,2
"1184","1184","11840",1,-6,-6,1,-6,24,18,0,201,202,202,-5,-5,-5,-5,-5,1,3,3,1,-5,1,-6,-6,-6,-6,-6,-6,-5,-5,201,-5,201,-5,-5,201,-5,-5,1,2
"1185","1185","11850",1,-6,-6,2,1,29,18,0,3,2,1,1,4,3,5,7,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,3,1,1,1,3,3,5,2,5,3,-5,2
"1186","1186","11860",1,-6,-6,1,-6,38,14,0,201,201,201,-5,-5,-5,-5,-5,2,-6,4,2,-6,1,-6,-6,-6,-6,-6,-6,-5,-5,202,-5,201,-5,-5,201,-5,-5,1,2
"1187","1187","11870",0,-6,-6,1,-6,34,16,0,7,7,2,0,5,2,7,7,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,7,3,3,3,7,2,7,3,7,2,-5,2
"1188","1188","11880",1,-6,-6,2,1,20,17,0,5,2,2,0,5,3,7,7,1,4,-5,1,30,2,2,10,-6,-6,1,40,2,0,1,1,2,3,2,2,2,2,-5,2
"1189","1189","11890",1,-6,-6,1,-6,39,15,0,7,7,0,2,3,0,7,7,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,7,7,7,5,7,0,2,2,7,5,-5,2
"1190","1190","11900",1,-6,-6,1,-6,23,18,0,7,3,7,2,7,3,7,7,1,3,-5,1,6,1,-6,-6,-6,-6,-6,-6,3,0,2,1,2,3,3,5,7,3,-5,1
"1191","1191","11910",1,-6,-6,1,-6,23,20,3,7,7,7,7,7,2,7,7,2,-6,-5,1,40,1,-6,-6,-6,-6,-6,-6,5,2,2,2,7,3,7,7,7,7,-5,2
"1192","1192","11920",1,-6,-6,2,5,29,15,3,202,203,202,-5,-5,-5,-5,-5,2,-6,4,2,-6,2,2,0,2,1999,-5,-5,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"1193","1193","11930",1,-6,-6,2,2,22,12,0,5,5,3,3,7,2,7,7,2,-6,-5,1,45,2,2,1,-6,-6,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6
"1194","1194","11940",1,-6,-6,2,1,20,20,0,4,7,2,7,7,5,7,7,2,-6,-5,2,-6,2,2,29,-6,-6,1,-2,7,0,3,-2,7,1,2,7,7,4,-5,2
"1195","1195","11950",1,2,30,2,1,20,19,0,6,6,5,5,6,1,7,2,2,-6,-5,1,20,2,2,30,-6,-6,1,200,5,5,5,5,5,2,5,5,5,5,-5,2
"1196","1196","11960",1,-6,-6,1,-6,21,10,0,7,7,7,5,7,3,7,7,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,7,7,5,7,7,5,7,7,7,3,-5,2
"1197","1197","11970",1,-6,-6,1,-6,28,11,0,7,1,3,2,5,7,7,7,2,-6,-5,1,24,1,-6,-6,-6,-6,-6,-6,5,1,2,2,4,2,7,7,7,5,-5,2
"1198","1198","11980",1,-6,-6,1,-6,40,14,0,7,7,7,7,7,1,7,7,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,7,7,7,7,5,1,4,7,7,1,-5,2
"1199","1199","11990",1,-6,-6,1,-6,29,12,0,3,6,3,2,7,0,7,7,2,-6,-5,1,40,1,-6,-6,-6,-6,-6,-6,3,4,2,3,5,0,2,3,7,3,-5,2
"1200","1200","12000",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"1201","1201","12010",1,-6,-6,2,1,30,22,0,6,4,7,5,7,4,7,7,1,4,-5,1,52,2,2,2,-6,-6,1,2,0,0,0,0,0,0,0,0,0,0,-5,2
"1202","1202","12020",0,-6,-6,2,5,22,19,0,7,7,5,5,2,7,7,5,2,-6,-5,1,40,2,2,1,-6,-6,1,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6
"1203","1203","12030",1,-6,-6,1,-6,32,14,0,3,3,2,7,3,3,7,7,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,4,4,2,5,3,2,3,6,7,7,-5,2
