"","idnum","mothid1","cm1fint","m1a4","m1a11a","m1a11b","m1a11c","m1a11d","cm1age","cm1bsex","m1b2","m1b3","m1b11a","m1b22a","m1b11b","m1b22b","m1b11c","m1b22c","m1b11d","m1b22d","m1b13b","m1b25b","m1b13c","m1b25c","m1b16","m1b17","m1g2","m1g3","m1g4","fathid1","f1b5a","f1b11a","f1b22a","f1b5b","f1b11b","f1b22b","f1b5c","f1b11c","f1b22c","f1b5d","f1b11d","f1b22d","f1b13b","f1b13c","f1b16","f1b17","f1g3","f1g4","f1g2"
"2223","2223","22230",1,2,1,2,1,2,21,1,2,1,2,-6,1,-6,1,-6,1,-6,3,-6,2,-6,1,1,5,5,4,"22231",-6,2,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,2,1,1,5,3,4
"2224","2224","22240",1,2,-3,-3,-3,-3,23,1,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"22241",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,3,4
"2225","2225","22250",0,2,1,2,1,2,19,2,2,5,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,2,2,5,5,4,"22251",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"2226","2226","22260",1,2,1,1,2,2,18,1,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"22261",1,-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,-6,-6,1,1,5,2,3
"2227","2227","22270",0,1,-6,-6,-6,-6,22,2,1,-6,-6,1,-6,2,-6,1,-6,1,-6,3,-6,1,-6,-6,5,5,4,"22271",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"2228","2228","22280",1,2,1,1,2,2,21,2,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,3,"22281",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,2,4
"2229","2229","22290",1,2,1,2,2,2,27,2,2,3,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1,1,5,5,4,"22291",-6,1,-6,-6,2,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,3,5
"2230","2230","22300",1,1,-6,-6,-6,-6,24,2,1,-6,-6,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,-6,5,5,4,"22301",-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,-6,-6,5,1,4
"2231","2231","22310",0,2,1,1,2,2,19,1,2,1,2,-6,2,-6,2,-6,2,-6,3,-6,1,-6,2,2,5,5,4,"22311",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"2232","2232","22320",1,1,-6,-6,-6,-6,29,1,1,-6,-6,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,-6,4,5,4,"22321",-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,-6,-6,5,4,3
