"","idnum","mothid1","cm1fint","m1a4","m1a11a","m1a11b","m1a11c","m1a11d","cm1age","cm1bsex","m1b2","m1b3","m1b11a","m1b22a","m1b11b","m1b22b","m1b11c","m1b22c","m1b11d","m1b22d","m1b13b","m1b25b","m1b13c","m1b25c","m1b16","m1b17","m1g2","m1g3","m1g4","fathid1","f1b5a","f1b11a","f1b22a","f1b5b","f1b11b","f1b22b","f1b5c","f1b11c","f1b22c","f1b5d","f1b11d","f1b22d","f1b13b","f1b13c","f1b16","f1b17","f1g3","f1g4","f1g2"
"870","0870","08700",0,2,1,1,2,2,22,2,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"08701",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"871","0871","08710",1,1,-6,-6,-6,-6,22,2,1,-6,-6,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,-6,5,5,4,"08711",-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,-6,-6,5,4,5
"872","0872","08720",1,2,1,2,2,2,19,2,2,5,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,2,2,5,5,4,"08721",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,2,2,3,4
"873","0873","08730",1,2,1,1,2,2,18,1,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"08731",-6,2,-6,-6,2,-6,-6,1,-6,-6,1,-6,2,1,2,1,5,3,4
"874","0874","08740",0,2,1,2,1,2,20,1,2,3,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,2,2,5,5,3,"08741",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"875","0875","08750",1,1,-6,-6,-6,-6,26,1,1,-6,-6,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,-6,5,5,4,"08751",-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,-6,-6,5,4,4
"876","0876","08760",1,2,1,2,2,2,17,1,2,1,1,-6,1,-6,2,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"08761",-6,1,-6,-6,1,-6,-6,2,-6,-6,1,-6,3,1,1,1,5,4,5
"877","0877","08770",0,1,-6,-6,-6,-6,23,2,1,-6,-6,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,-6,5,5,4,"08771",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"878","0878","08780",1,2,1,2,1,2,20,1,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,4,4,"08781",-6,2,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,2,1,1,5,3,5
"879","0879","08790",1,2,1,1,2,2,23,1,2,2,1,-6,2,-6,2,-6,1,-6,3,-6,2,-6,2,1,4,5,4,"08791",-6,1,-6,-6,2,-6,-6,2,-6,-6,1,-6,3,1,2,1,4,2,1
"880","0880","08800",1,2,1,1,2,2,20,1,2,1,2,-6,2,-6,2,-6,2,-6,3,-6,1,-6,1,1,5,5,4,"08801",-6,2,-6,-6,2,-6,-6,2,-6,-6,2,-6,3,1,1,1,5,4,5
"881","0881","08810",1,2,1,1,2,2,23,1,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,3,"08811",-6,1,-6,-6,2,-6,-6,2,-6,-6,2,-6,3,1,1,1,5,4,2
"882","0882","08820",1,2,1,1,2,2,22,2,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,2,"08821",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,3,4
"883","0883","08830",1,2,1,2,1,2,19,1,2,2,2,-6,1,-6,1,-6,1,-6,3,-6,2,-6,2,2,5,5,4,"08831",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,3,3
"884","0884","08840",0,2,1,2,2,1,40,1,2,1,2,-6,2,-6,2,-6,2,-6,3,-6,1,-6,2,2,5,5,4,"08841",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"885","0885","08850",0,2,1,2,2,2,22,2,2,1,1,-6,2,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,3,"08851",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"886","0886","08860",0,2,1,2,1,2,19,2,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,3,"08861",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"887","0887","08870",1,2,1,2,2,2,29,2,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"08871",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,2,1,1,1,5,4,5
"888","0888","08880",1,2,1,2,2,2,30,2,2,3,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1,2,5,5,4,"08881",1,-3,-6,1,-3,-6,1,-3,-6,2,-3,-6,-3,-3,2,1,5,3,3
"889","0889","08890",1,1,-6,-6,-6,-6,28,2,1,-6,-6,1,-6,2,-6,2,-6,1,-6,3,-6,1,-6,-6,5,5,4,"08891",-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,-6,-6,5,4,3
"890","0890","08900",0,1,-6,-6,-6,-6,37,2,1,-6,-6,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,-6,5,5,4,"08901",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"891","0891","08910",0,2,1,2,1,2,28,2,2,5,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6,-5,1,2,1,2,3,"08911",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"892","0892","08920",1,2,1,1,1,2,19,2,2,1,2,-6,1,-6,1,-6,1,-6,3,-5,1,-5,1,1,5,5,4,"08921",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,2,1,1,1,5,4,5
"893","0893","08930",1,1,-6,-6,-6,-6,32,1,1,-6,-6,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,-6,5,5,4,"08931",-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,-6,-6,5,4,5
"894","0894","08940",1,2,1,2,2,2,36,1,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,2,1,5,5,4,"08941",-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,-6,-6,3,3,4
"895","0895","08950",1,1,-6,-6,-6,-6,26,1,1,-6,-6,2,-6,2,-6,1,-6,1,-6,3,-6,1,-6,-6,5,5,4,"08951",-6,-6,1,-6,-6,2,-6,-6,2,-6,-6,2,-6,-6,-6,-6,5,4,5
"896","0896","08960",0,2,1,2,2,2,20,2,2,2,2,-6,2,-6,2,-6,2,-6,3,-6,1,-6,2,1,4,4,3,"08961",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"897","0897","08970",1,1,-6,-6,-6,-6,18,1,1,-6,-6,1,-6,2,-6,1,-6,1,-6,3,-6,1,-6,-6,5,5,4,"08971",-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,-6,-6,5,4,2
"898","0898","08980",1,1,-6,-6,-6,-6,30,2,1,-6,-6,1,-6,1,-6,1,-6,1,-6,-3,-6,1,-6,-6,-3,-3,-3,"08981",-6,-6,1,-6,-6,2,-6,-6,1,-6,-6,1,-6,-6,-6,-6,5,4,3
"899","0899","08990",1,1,-6,-6,-6,-6,30,1,1,-6,-6,2,-6,1,-6,1,-6,1,-6,3,-6,1,-6,-6,5,5,4,"08991",-6,-6,1,-6,-6,2,-6,-6,1,-6,-6,1,-6,-6,-6,-6,5,4,5
"900","0900","09000",1,2,1,1,1,2,20,1,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"09001",-6,2,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,3,1,1,2,4,3
"901","0901","09010",1,1,-6,-6,-6,-6,29,2,1,-6,-6,1,-6,2,-6,1,-6,1,-6,-5,-6,-5,-6,-6,5,5,4,"09011",-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,-6,-6,5,4,3
"902","0902","09020",1,2,1,2,2,2,22,1,2,2,2,-6,2,-6,2,-6,2,-6,3,-6,2,-6,2,1,5,5,4,"09021",-6,1,-6,-6,2,-6,-6,1,-6,-6,1,-6,3,2,1,1,5,4,5
"903","0903","09030",1,2,1,2,2,2,23,1,2,2,1,-6,2,-6,2,-6,1,-6,3,-6,2,-6,1,1,5,5,3,"09031",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,2,1,1,5,4,3
"904","0904","09040",1,2,1,1,1,2,17,2,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,4,3,4,"09041",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,2,1,1,1,5,3,5
"905","0905","09050",1,2,1,2,2,2,28,1,2,3,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,2,1,5,5,4,"09051",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,2,1,1,5,4,4
"906","0906","09060",1,1,-6,-6,-6,-6,27,1,1,-6,-6,1,-6,2,-6,1,-6,1,-6,3,-6,1,-6,-6,5,5,4,"09061",-6,-6,2,-6,-6,1,-6,-6,2,-6,-6,1,-6,-6,-6,-6,5,4,5
"907","0907","09070",0,2,1,2,2,2,27,2,2,5,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,2,2,5,2,3,"09071",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"908","0908","09080",0,2,1,2,1,2,23,2,2,4,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,2,2,5,5,4,"09081",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"909","0909","09090",1,2,1,1,2,2,31,2,2,1,1,-6,1,-6,2,-6,1,-6,3,-6,3,-6,1,1,5,5,4,"09091",2,-6,-6,2,-6,-6,2,-6,-6,1,-6,-6,-6,-6,1,1,5,3,2
"910","0910","09100",1,2,-6,-6,-6,-6,22,1,2,1,1,-6,1,-6,1,-6,1,-6,3,-5,1,-5,1,1,5,5,3,"09101",-6,2,-6,-6,1,-6,-6,1,-6,-6,1,-6,2,1,1,1,1,3,1
"911","0911","09110",1,2,1,1,2,2,24,1,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"09111",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,3,4
"912","0912","09120",1,1,-6,-6,-6,-6,33,1,1,-6,-6,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,-6,4,5,4,"09121",-6,-6,1,-6,-6,2,-6,-6,1,-6,-6,1,-6,-6,-6,-6,5,4,4
"913","0913","09130",1,2,1,1,2,2,30,1,2,1,1,-6,1,-6,1,-6,2,-6,3,-6,2,-6,1,1,5,5,3,"09131",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,2,1,1,1,5,3,5
"914","0914","09140",1,2,1,1,2,2,23,2,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"09141",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,4,5
"915","0915","09150",0,2,1,2,2,2,24,2,2,5,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,2,1,5,5,4,"09151",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"916","0916","09160",0,2,1,2,2,2,25,2,2,2,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,4,5,4,"09161",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"917","0917","09170",1,2,1,2,1,2,19,2,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"09171",1,-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,-6,-6,1,1,5,4,3
"918","0918","09180",1,2,1,1,2,2,26,1,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"09181",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,4,3
"919","0919","09190",1,1,-6,-6,-6,-6,27,1,1,-6,-6,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,-6,5,5,4,"09191",-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,-6,-6,5,4,5
"920","0920","09200",1,2,1,2,2,2,22,1,2,1,2,-6,2,-6,2,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"09201",-6,1,-6,-6,1,-6,-6,1,-6,-6,2,-6,3,2,1,1,5,3,4
"921","0921","09210",1,2,1,2,1,2,20,2,2,2,-3,-6,-3,-6,-3,-6,-3,-6,3,-5,2,-5,2,2,5,5,4,"09211",-6,2,-6,-6,2,-6,-6,2,-6,-6,2,-6,3,1,1,2,5,3,4
"922","0922","09220",0,1,-6,-6,-6,-6,30,2,1,-6,-6,1,-6,1,-6,1,-6,1,-6,3,-6,2,-6,-6,5,5,4,"09221",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"923","0923","09230",1,1,-6,-6,-6,-6,20,2,1,-6,-6,1,-6,1,-6,2,-6,1,-6,3,-6,2,-6,-6,5,5,4,"09231",-6,-6,1,-6,-6,1,-6,-6,2,-6,-6,1,-6,-6,-6,-6,5,4,4
"924","0924","09240",1,2,1,1,2,2,22,2,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,4,5,3,"09241",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,3,5
"925","0925","09250",1,2,1,1,2,2,16,2,2,5,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,2,2,5,5,4,"09251",2,-6,-6,2,-6,-6,2,-6,-6,2,-6,-6,-6,-6,1,2,5,3,5
"926","0926","09260",1,1,-6,-6,-6,-6,28,2,1,-6,-6,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,-6,5,5,4,"09261",-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,2,-6,-6,-6,-6,5,4,3
"927","0927","09270",1,2,1,1,2,2,27,2,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,3,"09271",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,3,5
"928","0928","09280",1,2,1,1,2,2,25,1,2,1,1,-6,2,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"09281",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,1,5
"929","0929","09290",1,2,1,2,2,2,29,1,2,3,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1,1,5,5,4,"09291",-3,-6,-6,-3,-6,-6,-3,-6,-6,-3,-6,-6,-6,-6,1,1,5,4,2
"930","0930","09300",0,2,1,2,1,2,26,2,2,1,2,-6,2,-6,2,-6,2,-6,3,-6,2,-6,1,2,5,5,4,"09301",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"931","0931","09310",1,2,1,1,2,2,34,1,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"09311",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,2,1,1,5,-1,-1
"932","0932","09320",0,2,1,2,2,2,25,2,2,3,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6,-5,2,2,5,5,3,"09321",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"933","0933","09330",1,2,1,1,2,2,19,1,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"09331",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,4,5
"934","0934","09340",1,2,1,1,1,2,26,1,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"09341",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,3,3
"935","0935","09350",1,2,1,2,2,2,21,2,2,3,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1,1,5,5,3,"09351",2,-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,-6,-6,1,1,5,3,5
"936","0936","09360",0,1,-6,-6,-6,-6,33,2,1,-6,-6,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,-6,5,5,4,"09361",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"937","0937","09370",1,2,1,1,1,2,29,1,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"09371",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,2,1,1,5,4,2
"938","0938","09380",0,2,1,2,2,2,33,1,2,3,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1,2,4,5,4,"09381",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"939","0939","09390",1,2,1,1,2,2,26,2,2,1,1,-6,1,-6,1,-6,1,-6,3,-5,1,-5,1,1,5,5,4,"09391",-6,2,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,4,4
"940","0940","09400",0,2,1,2,2,2,19,1,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,3,"09401",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"941","0941","09410",0,2,1,1,2,2,23,1,2,1,1,-6,2,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"09411",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"942","0942","09420",1,2,1,1,2,2,31,2,2,1,2,-6,1,-6,1,-6,1,-6,3,-6,2,-6,1,1,4,5,3,"09421",-6,2,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,2,3
"943","0943","09430",1,2,1,1,2,2,37,1,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"09431",-6,2,-6,-6,1,-6,-6,1,-6,-6,1,-6,2,2,1,1,5,4,5
"944","0944","09440",1,2,1,2,1,1,19,1,2,4,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,2,2,4,5,3,"09441",1,-6,-6,2,-6,-6,1,-6,-6,1,-6,-6,-6,-6,1,2,5,3,3
"945","0945","09450",1,2,1,1,2,2,26,1,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"09451",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,2,1,1,5,4,3
"946","0946","09460",1,2,1,1,1,2,25,1,2,1,2,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"09461",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,4,4,3
"947","0947","09470",0,2,1,2,2,2,22,1,2,4,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,2,2,5,5,4,"09471",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"948","0948","09480",0,2,1,2,2,2,34,2,2,5,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6,-5,-3,-3,5,5,3,"09481",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"949","0949","09490",1,1,-6,-6,-6,-6,32,2,1,-6,-6,1,-6,1,-6,1,-6,1,-6,3,-6,2,-6,-6,5,5,4,"09491",-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,-6,-6,5,4,5
"950","0950","09500",1,1,-6,-6,-6,-6,20,2,1,-6,-6,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,-6,5,5,4,"09501",-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,-6,-6,5,4,4
"951","0951","09510",1,2,1,2,2,2,33,2,2,1,2,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"09511",-6,2,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,4,3
"952","0952","09520",1,2,1,1,2,2,24,1,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"09521",-6,1,-6,-6,2,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,4,3
"953","0953","09530",1,1,-6,-6,-6,-6,27,1,1,-6,-6,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,-6,5,5,4,"09531",-6,-6,1,-6,-6,1,-6,-6,2,-6,-6,1,-6,-6,-6,-6,5,4,5
"954","0954","09540",0,1,-6,-6,-6,-6,34,1,1,-6,-6,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,-6,4,5,4,"09541",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"955","0955","09550",1,2,1,1,2,2,25,1,2,1,2,-6,2,-6,2,-6,1,-6,3,-6,1,-6,1,2,5,5,4,"09551",-6,1,-6,-6,1,-6,-6,2,-6,-6,1,-6,3,1,1,1,5,2,3
"956","0956","09560",1,2,1,1,2,2,37,2,2,1,2,-6,2,-6,2,-6,1,-6,3,-6,1,-6,1,1,5,5,3,"09561",-6,2,-6,-6,2,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,3,4
"957","0957","09570",1,2,1,2,2,2,20,1,2,1,1,-6,2,-6,1,-6,2,-6,3,-6,1,-6,1,1,5,5,3,"09571",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,1,3,5
"958","0958","09580",0,2,1,2,1,2,20,2,2,1,2,-6,2,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"09581",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"959","0959","09590",1,1,-6,-6,-6,-6,25,2,1,-6,-6,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,-6,-3,5,4,"09591",-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,-6,-6,5,4,3
"960","0960","09600",1,1,-6,-6,-6,-6,27,1,1,-6,-6,1,-6,2,-6,2,-6,1,-6,-5,-6,-5,-6,-6,5,5,4,"09601",-6,-6,1,-6,-6,2,-6,-6,1,-6,-6,1,-6,-6,-6,-6,5,4,4
"961","0961","09610",1,2,1,1,2,2,18,1,2,1,1,-6,2,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"09611",-6,1,-6,-6,2,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,4,3
"962","0962","09620",0,2,1,1,2,2,20,1,2,1,2,-6,1,-6,1,-6,1,-6,3,-6,2,-6,1,1,5,5,4,"09621",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"963","0963","09630",1,2,1,1,1,2,32,2,2,1,2,-6,2,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"09631",-6,2,-6,-6,2,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,4,4
"964","0964","09640",1,1,-6,-6,-6,-6,27,2,1,-6,-6,1,-6,2,-6,1,-6,1,-6,-5,-6,-5,-6,-6,5,5,4,"09641",-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,-6,-6,5,4,3
"965","0965","09650",1,2,1,2,2,2,33,1,2,1,2,-6,2,-6,1,-6,1,-6,3,-6,2,-6,1,1,5,5,4,"09651",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,2,1,1,1,5,3,4
"966","0966","09660",1,2,1,2,1,2,21,2,2,1,1,-6,1,-6,1,-6,1,-6,3,-5,1,-5,1,1,5,2,4,"09661",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,2,4,4
"967","0967","09670",1,1,-6,-6,-6,-6,43,1,1,-6,-6,1,-6,2,-6,1,-6,1,-6,3,-6,2,-6,-6,5,5,4,"09671",-6,-6,1,-6,-6,2,-6,-6,1,-6,-6,1,-6,-6,-6,-6,5,4,2
"968","0968","09680",1,2,1,1,2,2,23,1,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,3,"09681",-6,1,-6,-6,2,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,2,4
"969","0969","09690",1,2,1,1,1,2,24,2,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,2,-6,1,1,5,5,4,"09691",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,4,3
"970","0970","09700",1,2,1,1,1,2,20,1,2,1,1,-6,2,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"09701",-6,-3,-6,-6,-3,-6,-6,-3,-6,-6,-3,-6,-3,-3,1,1,5,4,5
"971","0971","09710",0,2,1,1,2,2,20,1,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"09711",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"972","0972","09720",1,2,1,1,2,2,23,2,2,1,1,-6,1,-6,1,-6,1,-6,3,-5,1,-5,1,1,5,5,4,"09721",-6,1,-6,-6,2,-6,-6,1,-6,-6,1,-6,2,1,1,1,5,4,4
"973","0973","09730",1,2,1,2,2,2,20,1,2,2,1,-6,1,-6,1,-6,2,-6,3,-6,1,-6,1,1,5,5,4,"09731",1,-6,-6,2,-6,-6,1,-6,-6,1,-6,-6,-6,-6,1,1,5,3,2
"974","0974","09740",1,1,-6,-6,-6,-6,24,1,1,-6,-6,1,-6,1,-6,1,-6,1,-6,-5,-6,-5,-6,-6,4,5,4,"09741",-6,-6,1,-6,-6,2,-6,-6,1,-6,-6,1,-6,-6,-6,-6,5,3,3
"975","0975","09750",1,2,1,1,2,2,26,2,2,1,1,-6,2,-6,1,-6,1,-6,3,-6,1,-6,2,1,5,5,3,"09751",-6,1,-6,-6,2,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,3,1
"976","0976","09760",1,1,-6,-6,-6,-6,26,1,1,-6,-6,1,-6,1,-6,1,-6,1,-6,3,-6,2,-6,-6,5,5,4,"09761",-6,1,-6,-6,2,-6,-6,2,-6,-6,1,-6,3,1,1,1,5,4,5
"977","0977","09770",1,1,-6,-6,-6,-6,31,2,1,-6,-6,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,-6,5,5,4,"09771",-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,-6,-6,5,4,3
"978","0978","09780",0,2,1,2,1,2,26,2,2,5,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,2,2,5,5,4,"09781",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
